"state_fip","question","response","pct","pct_low","pct_upp","total_n"
"04","q6i",3,20.3,16.19,24.4,500
"04","q6i",4,43.52,38.07,48.96,500
"12","q6i",1,23.65,19.67,27.64,500
"12","q6i",2,17.45,13.51,21.38,500
"12","q6i",3,20.75,17.05,24.45,500
"12","q6i",4,38.15,33.55,42.75,500
"26","q6i",1,20.12,16.18,24.06,500
"26","q6i",2,20.7,16.18,25.22,500
"26","q6i",3,17.61,14.05,21.17,500
"26","q6i",4,41.57,36.36,46.78,500
"37","q6i",1,17.81,14.17,21.45,500
"37","q6i",2,17.77,14.17,21.38,500
"37","q6i",3,21.7,17.8,25.6,500
"37","q6i",4,42.72,37.6,47.83,500
"39","q6i",1,15.63,12.25,19.01,500
"39","q6i",2,20.66,16.48,24.84,500
"39","q6i",3,21.41,17.51,25.31,500
"39","q6i",4,42.31,37.51,47.1,500
"42","q6i",1,21.41,17.34,25.48,500
"42","q6i",2,15.89,12.56,19.23,500
"42","q6i",3,20.23,16.43,24.03,500
"42","q6i",4,42.47,37.7,47.23,500
"55","q6i",1,21.72,17.78,25.66,500
"55","q6i",2,16.69,13.19,20.19,500
"55","q6i",3,21.51,17.53,25.49,500
"55","q6i",4,40.08,35.41,44.76,500
"04","q7a",1,6.91,3.74,10.08,500
"04","q7a",2,8.06,3.89,12.24,500
"04","q7a",3,4.36,2.54,6.17,500
"04","q7a",4,80.67,75.63,85.72,500
"12","q7a",1,9.8,7.04,12.57,500
"12","q7a",2,6.36,4.13,8.58,500
"12","q7a",3,8.84,5.59,12.1,500
"12","q7a",4,75,70.69,79.3,500
"26","q7a",1,7.46,4.56,10.36,500
"26","q7a",2,6.81,3.73,9.88,500
"26","q7a",3,6.59,4.09,9.09,500
"26","q7a",4,79.14,74.67,83.62,500
"37","q7a",1,11.21,7.44,14.98,500
"37","q7a",2,6.98,4.48,9.48,500
"37","q7a",3,7.97,5.34,10.6,500
"37","q7a",4,73.84,69.19,78.5,500
"39","q7a",1,8.8,5.93,11.66,500
"39","q7a",2,4.34,2.4,6.27,500
"39","q7a",3,11.76,8.33,15.2,500
"39","q7a",4,75.1,70.71,79.49,500
"42","q7a",1,8.4,5.8,11.01,500
"42","q7a",2,4.99,2.99,6.99,500
"42","q7a",3,6.73,4.07,9.39,500
"42","q7a",4,79.87,75.97,83.78,500
"55","q7a",1,4.48,2.4,6.55,500
"55","q7a",2,5.12,2.7,7.54,500
"55","q7a",3,7.35,4.69,10.02,500
"55","q7a",4,83.06,79.2,86.91,500
"04","q7b",1,7.83,4.96,10.71,500
"04","q7b",2,9.09,5.67,12.5,500
"04","q7b",3,15.51,11.58,19.43,500
"04","q7b",4,67.57,62.41,72.73,500
"12","q7b",1,15.71,11.74,19.68,500
"12","q7b",2,10.36,7.61,13.11,500
"12","q7b",3,13.16,10.08,16.23,500
"12","q7b",4,60.77,56.05,65.49,500
"26","q7b",1,9.22,6.21,12.22,500
"26","q7b",2,9.2,5.98,12.41,500
"26","q7b",3,12.03,8.73,15.33,500
"26","q7b",4,69.56,64.73,74.38,500
"37","q7b",1,13.91,10.41,17.41,500
"37","q7b",2,11.02,7.43,14.6,500
"37","q7b",3,15.62,11.82,19.42,500
"37","q7b",4,59.45,54.4,64.5,500
"39","q7b",1,13.95,10.6,17.3,500
"39","q7b",2,10.17,6.98,13.36,500
"39","q7b",3,15.87,12.04,19.69,500
"39","q7b",4,60.01,55.15,64.87,500
"42","q7b",1,14.64,11.37,17.92,500
"42","q7b",2,11.96,8.54,15.38,500
"42","q7b",3,10.44,7.76,13.12,500
"42","q7b",4,62.95,58.32,67.59,500
"55","q7b",1,10.31,7.39,13.23,500
"55","q7b",2,8.89,6.16,11.63,500
"55","q7b",3,16.65,12.83,20.47,500
"55","q7b",4,64.15,59.47,68.82,500
"04","q7c",1,10.09,6.62,13.57,500
"04","q7c",2,11.58,7.65,15.51,500
"04","q7c",3,19.94,15.56,24.31,500
"04","q7c",4,58.39,52.93,63.86,500
"12","q7c",1,17.73,14.13,21.34,500
"12","q7c",2,13.45,10.17,16.73,500
"12","q7c",3,22.48,18.25,26.71,500
"12","q7c",4,46.33,41.62,51.05,500
"26","q7c",1,14.73,11,18.47,500
"26","q7c",2,11.26,7.99,14.53,500
"26","q7c",3,21.46,16.78,26.14,500
"26","q7c",4,52.54,47.3,57.79,500
"37","q7c",1,20.73,16.37,25.1,500
"37","q7c",2,14.62,11.26,17.99,500
"37","q7c",3,19.45,15.68,23.21,500
"37","q7c",4,45.2,40.17,50.22,500
"39","q7c",1,16.48,12.89,20.06,500
"39","q7c",2,11.88,8.55,15.21,500
"39","q7c",3,19.48,15.66,23.3,500
"39","q7c",4,52.17,47.31,57.03,500
"42","q7c",1,17.2,13.75,20.65,500
"42","q7c",2,13.95,10.77,17.13,500
"42","q7c",3,20.63,16.34,24.93,500
"42","q7c",4,48.21,43.42,53.01,500
"55","q7c",1,10.77,7.72,13.83,500
"55","q7c",2,12.72,9.46,15.97,500
"55","q7c",3,23.28,19.16,27.4,500
"55","q7c",4,53.23,48.45,58.01,500
"04","q7d",1,21.13,16.45,25.81,500
"04","q7d",2,9.38,5.9,12.86,500
"04","q7d",3,15.45,11.86,19.04,500
"04","q7d",4,54.04,48.59,59.48,500
"12","q7d",1,27.76,23.21,32.31,500
"12","q7d",2,9.51,6.89,12.13,500
"12","q7d",3,16.62,13.22,20.02,500
"12","q7d",4,46.11,41.39,50.83,500
"26","q7d",1,17.25,13.43,21.07,500
"26","q7d",2,11.11,7.64,14.58,500
"26","q7d",3,13.2,9.64,16.75,500
"26","q7d",4,58.44,53.29,63.59,500
"37","q7d",1,26.88,22.28,31.49,500
"37","q7d",2,13.74,10.41,17.07,500
"37","q7d",3,13.77,10.2,17.35,500
"37","q7d",4,45.6,40.6,50.6,500
"39","q7d",1,21.28,17.22,25.34,500
"39","q7d",2,12.75,9.47,16.03,500
"39","q7d",3,11.14,8.22,14.07,500
"39","q7d",4,54.82,49.98,59.67,500
"42","q7d",1,25.44,21.3,29.58,500
"42","q7d",2,10.62,7.51,13.74,500
"42","q7d",3,12.61,9.49,15.72,500
"42","q7d",4,51.33,46.53,56.14,500
"55","q7d",1,19.41,15.6,23.21,500
"55","q7d",2,8.59,5.92,11.27,500
"55","q7d",3,17.08,13.34,20.83,500
"55","q7d",4,54.91,50.14,59.69,500
"04","q7e",1,15.48,11.63,19.34,500
"04","q7e",2,16.42,11.67,21.17,500
"04","q7e",3,24.52,20.1,28.93,500
"04","q7e",4,43.58,38.23,48.94,500
"12","q7e",1,25.29,21.15,29.43,500
"12","q7e",2,18.26,14.25,22.26,500
"12","q7e",3,21.32,17.65,24.99,500
"12","q7e",4,35.13,30.62,39.63,500
"26","q7e",1,19.86,15.83,23.88,500
"26","q7e",2,14.11,10.4,17.82,500
"26","q7e",3,22.67,18.16,27.18,500
"26","q7e",4,43.36,38.2,48.52,500
"37","q7e",1,27.92,23.25,32.58,500
"37","q7e",2,17.42,13.82,21.02,500
"37","q7e",3,21.24,17.39,25.1,500
"37","q7e",4,33.42,28.55,38.29,500
"39","q7e",1,25.07,20.86,29.28,500
"39","q7e",2,18.11,14.29,21.92,500
"39","q7e",3,22.15,18,26.3,500
"39","q7e",4,34.67,30.12,39.21,500
"42","q7e",1,28.08,23.79,32.38,500
"42","q7e",2,17.85,14.32,21.39,500
"42","q7e",3,21.1,17.06,25.13,500
"42","q7e",4,32.97,28.42,37.51,500
"55","q7e",1,20.1,16.34,23.86,500
"55","q7e",2,19.01,15.05,22.96,500
"55","q7e",3,25.28,21.21,29.36,500
"55","q7e",4,35.61,31.06,40.16,500
"04","q7f",1,20.96,16.4,25.52,500
"04","q7f",2,13.25,9.26,17.24,500
"04","q7f",3,16.73,12.56,20.91,500
"04","q7f",4,49.06,43.63,54.49,500
"12","q7f",1,29.11,24.75,33.47,500
"12","q7f",2,14.76,10.98,18.54,500
"12","q7f",3,14.96,11.79,18.14,500
"12","q7f",4,41.17,36.54,45.79,500
"26","q7f",1,18.04,14.36,21.71,500
"26","q7f",2,11,7.39,14.61,500
"26","q7f",3,12.59,9.44,15.73,500
"26","q7f",4,58.38,53.29,63.46,500
"37","q7f",1,29.32,24.63,34.01,500
"37","q7f",2,12.54,9.45,15.63,500
"37","q7f",3,17.7,13.8,21.61,500
"37","q7f",4,40.44,35.51,45.37,500
"39","q7f",1,22.84,18.75,26.94,500
"39","q7f",2,12.16,8.96,15.36,500
"39","q7f",3,14.6,11.03,18.17,500
"39","q7f",4,50.4,45.54,55.26,500
"42","q7f",1,26.38,22.21,30.55,500
"42","q7f",2,11.54,8.63,14.45,500
"42","q7f",3,16.6,12.84,20.35,500
"42","q7f",4,45.49,40.69,50.28,500
