"POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"BEXAR","93666","SCHOOL","251"
"BEXAR","92854","SCHOOL","220"
"BEXAR","93448","SCHOOL","313"
"BEXAR","93835","SCHOOL","308"
"BEXAR","93685","SCHOOL","169"
"BEXAR","93720","SCHOOL","360"
"BEXAR","93454","SCHOOL","424"
"BEXAR","93790","SCHOOL","191"
"BEXAR","93680","SCHOOL","262"
"BEXAR","93474","SCHOOL","190"
"BEXAR","93679","SCHOOL","245"
"BEXAR","93801","SCHOOL","155"
"BEXAR","93512","SCHOOL","128"
"BEXAR","93435","SCHOOL","71"
"BEXAR","92816","SCHOOL","204"
"BEXAR","93678","SCHOOL","195"
"BEXAR","93447","SCHOOL","247"
"BEXAR","93104","SCHOOL","190"
"BEXAR","92827","SCHOOL","323"
"BEXAR","92858","SCHOOL","260"
"BEXAR","92815","SCHOOL","198"
"BEXAR","93719","SCHOOL","302"
"BEXAR","93437","SCHOOL","78"
"BEXAR","93441","SCHOOL","293"
"BEXAR","93734","SCHOOL","379"
"BEXAR","93774","SCHOOL","195"
"BEXAR","93833","SCHOOL","228"
"BEXAR","93783","SCHOOL","146"
"BEXAR","93443","SCHOOL","268"
"BEXAR","93681","SCHOOL","164"
"BEXAR","93683","SCHOOL","297"
"BEXAR","93446","SCHOOL","324"
"BEXAR","93766","SCHOOL","360"
"BEXAR","93761","SCHOOL","850"
"BEXAR","93456","SCHOOL","212"
"BEXAR","93743","SCHOOL","308"
"BEXAR","93836","SCHOOL","360"
"BEXAR","93726","SCHOOL","255"
"BEXAR","93700","SCHOOL","254"
"BEXAR","93804","SCHOOL","174"
"BEXAR","93818","SCHOOL","92"
"BEXAR","93838","SCHOOL","336"
"BEXAR","93789","SCHOOL","101"
"BEXAR","93466","SCHOOL","98"
"BEXAR","93758","SCHOOL","380"
"BEXAR","93768","SCHOOL","200"
"BEXAR","93716","SCHOOL","273"
"BEXAR","93738","SCHOOL","280"
"BEXAR","92814","SCHOOL","151"
"BEXAR","93571","SCHOOL","283"
"BEXAR","93693","SCHOOL","434"
"BEXAR","93555","SCHOOL","306"
"BEXAR","93691","SCHOOL","278"
"BEXAR","93127","SCHOOL","348"
"BEXAR","93694","SCHOOL","236"
