muni,longitude,latitude,year
CITY OF WEST ALLIS,-88.0181703,42.9894271,2016
CITY OF WEST ALLIS,-88.01093,43.01105,2016
CITY OF WEST ALLIS,-88.01015764,42.99793616,2016
CITY OF WEST ALLIS,-88.00643206,43.01665664,2016
CITY OF WEST ALLIS,-88.00529279,43.01212572,2016
CITY OF WEST ALLIS,-87.99920417,43.01333003,2016
CITY OF WEST ALLIS,-87.99745068,43.00011411,2016
CITY OF WEST ALLIS,-87.99670905,43.00705835,2016
CITY OF WEST ALLIS,-87.98885755,43.01576547,2016
CITY OF WEST ALLIS,-87.9877304,43.0044119,2016
CITY OF WEST ALLIS,,,2016
VILLAGE OF BAYSIDE,-87.905878,43.18199,2016
VILLAGE OF BROWN DEER,-87.98433669,43.18972953,2016
VILLAGE OF BROWN DEER,-87.980574,43.163764,2016
VILLAGE OF BROWN DEER,-87.966558,43.16286,2016
VILLAGE OF FOX POINT,-87.90378928,43.15026082,2016
VILLAGE OF FOX POINT,-87.90213503,43.14950712,2016
VILLAGE OF GREENDALE,-88.00212711,42.93977648,2016
VILLAGE OF GREENDALE,-87.99628459,42.93600328,2016
VILLAGE OF GREENDALE,-87.989634,42.945151,2016
VILLAGE OF GREENDALE,-87.986934,42.930621,2016
VILLAGE OF GREENDALE,-87.978927,42.93765,2016
VILLAGE OF HALES CORNERS,-88.06302264,42.94224277,2016
VILLAGE OF RIVER HILLS,-87.91848712,43.15603226,2016
VILLAGE OF SHOREWOOD,-87.889642,43.096196,2016
VILLAGE OF SHOREWOOD,-87.888757,43.0892,2016
VILLAGE OF SHOREWOOD,-87.884697,43.087711,2016
VILLAGE OF WEST MILWAUKEE,-87.972674,43.01759,2016
VILLAGE OF WHITEFISH BAY,-87.91184463,43.11151497,2016
VILLAGE OF WHITEFISH BAY,-87.9009904,43.1148161,2016
VILLAGE OF WHITEFISH BAY,-87.90003084,43.11334357,2016
VILLAGE OF WHITEFISH BAY,-87.89828204,43.10753793,2016
CITY OF CUDAHY,-87.877848,42.943643,2020
CITY OF CUDAHY,-87.87439,42.936106,2020
CITY OF CUDAHY,-87.861823,42.956977,2020
CITY OF CUDAHY,-87.849294,42.952881,2020
CITY OF FRANKLIN,-88.059368,42.901106,2020
CITY OF FRANKLIN,-88.030782,42.895264,2020
CITY OF FRANKLIN,-88.029022,42.898757,2020
CITY OF FRANKLIN,-88.000496,42.919231,2020
CITY OF FRANKLIN,-87.987416,42.879559,2020
CITY OF GLENDALE,-87.939981,43.146699,2020
CITY OF GLENDALE,-87.930477,43.125086,2020
CITY OF GLENDALE,-87.916186,43.139982,2020
CITY OF GREENFIELD,-88.05588531,42.95507813,2020
CITY OF GREENFIELD,-88.003577,42.966198,2020
CITY OF MILWAUKEE,-87.993103,43.092681,2020
CITY OF MILWAUKEE,-87.99253,42.978826,2020
CITY OF MILWAUKEE,-87.96820068,43.06607437,2020
CITY OF MILWAUKEE,-87.930664,43.013451,2020
CITY OF MILWAUKEE,-87.889864,43.070542,2020
CITY OF OAK CREEK,-87.9077025,42.887772,2020
CITY OF SOUTH MILWAUKEE,-87.872592,42.906921,2020
CITY OF SOUTH MILWAUKEE,-87.857421,42.908183,2020
CITY OF SOUTH MILWAUKEE,-87.856168,42.929482,2020
CITY OF ST. FRANCIS,-87.86541,42.974179,2020
CITY OF WAUWATOSA,-88.063659,43.060616,2020
CITY OF WAUWATOSA,-88.052858,43.084576,2020
CITY OF WAUWATOSA,-88.049113,43.052735,2020
CITY OF WAUWATOSA,-88.028919,43.09881,2020
CITY OF WAUWATOSA,-88.00912,43.05991,2020
CITY OF WAUWATOSA,-88.00874,43.060058,2020
CITY OF WAUWATOSA,-88.004626,43.046294,2020
CITY OF WEST ALLIS,-88.056398,43.001446,2020
CITY OF WEST ALLIS,-88.047802,43.01858,2020
CITY OF WEST ALLIS,-88.030772,42.994901,2020
CITY OF WEST ALLIS,-88.019101,43.003369,2020
CITY OF WEST ALLIS,-88.006502,43.016169,2020
CITY OF WEST ALLIS,-88.0005105,43.012737,2020
CITY OF WEST ALLIS,-87.987822,43.004412,2020
VILLAGE OF BAYSIDE,-87.905932,43.182249,2020
VILLAGE OF BROWN DEER,-87.983543,43.189956,2020
VILLAGE OF BROWN DEER,-87.980574,43.163764,2020
VILLAGE OF BROWN DEER,-87.966558,43.16286,2020
VILLAGE OF FOX POINT,-87.904173,43.151144,2020
