MUNICIPALITY|CH|DES|VOTER ID|P|W/P|CG|SS|SR|CC|REQTYPE|REQDATE|SENTTYPE|SENTDATE|RECTYPE|RECDATE|ACC OR REJ|DUP|REQ DENIED|
BREWER|N||028900757|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 10:30 am|ACC|||
BREWER|N||051103375|R|1-1|2|8|128|1|ER|05/28/2014|MV|05/28/2014|MA|06/03/2014 10:00 am|ACC|||
BREWER|N||100380990|R|1-1|2|8|128|1|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 10:19 am|ACC|||
BREWER|N||051103497|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 01:05 pm|ACC|||
BREWER|N||051404046|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:05 pm|ACC|||
BREWER|N||051103961|D|1-1|2|8|128|1|TR|06/03/2014|MV|06/03/2014|DV|06/09/2014 03:30 pm|ACC|||
BREWER|N||051103962|D|1-1|2|8|128|1|TR|06/03/2014|MV|06/03/2014|DV|06/09/2014 03:30 pm|ACC|||
BREWER|N||100263340|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 01:00 pm|ACC|||
BREWER|N||051405118|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:10 pm|ACC|||
BREWER|N||051012816|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:50 am|ACC|||
BREWER|N||051012850|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:10 pm|ACC|||
BREWER|N||002901741|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 01:20 pm|ACC|||
BREWER|N||051104549|R|1-1|2|8|128|1|TR|05/29/2014|MV|05/29/2014|MA|06/09/2014 10:30 am|ACC|||
BREWER|N||051104660|R|1-1|2|8|128|1|TR|06/03/2014|MV|06/03/2014|||REJ|||
BREWER|N||051104670|D|1-1|2|8|128|1|TR|06/05/2014|MV|06/05/2014|MA|06/09/2014 10:30 am|ACC|||
BREWER|N||051104672|D|1-1|2|8|128|1|WV|06/05/2014|MV|06/05/2014|MA|06/09/2014 10:30 am|ACC|||
BREWER|N||051104872|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:15 pm|ACC|||
BREWER|N||051105363|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:10 pm|ACC|||
BREWER|N||051105382|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:30 pm|ACC|||
BREWER|N||051105451|R|1-1|2|8|128|1|TR|05/21/2014|MV|05/21/2014|DV|05/23/2014 11:20 am|ACC|||
BREWER|N||051105540|D|1-1|2|8|128|1|TR|06/02/2014|MV|06/03/2014|MA|06/06/2014 10:00 am|ACC|||
BREWER|N||051105545|D|1-1|2|8|128|1|TR|06/02/2014|MV|06/03/2014|MA|06/06/2014 10:00 am|ACC|||
BREWER|N||051105611|R|1-1|2|8|128|1|WV|06/04/2014|IV|06/04/2014|DV|06/05/2014 08:40 am|ACC|||
BREWER|N||051105616|R|1-1|2|8|128|1|WV|06/04/2014|IF|06/04/2014|IF|06/05/2014 08:40 am|ACC|||
BREWER|N||051105705|D|1-1|2|8|129|1|ER|05/08/2014|MV|05/14/2014|MA|05/30/2014 09:35 am|ACC|||
BREWER|N||051016511|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:05 pm|ACC|||
BREWER|N||051016512|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:05 pm|ACC|||
BREWER|N||051105773|D|1-1|2|8|129|1|TR|06/03/2014|MV|06/03/2014|MA|06/09/2014 10:30 am|ACC|||
BREWER|N||051105913|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:55 am|ACC|||
BREWER|N||100376537|R|1-1|2|8|128|1|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 01:25 pm|ACC|||
BREWER|N||030002740|R|1-1|2|8|128|1|TR|05/28/2014|MV|05/28/2014|MA|06/02/2014 10:05 am|ACC|||
BREWER|N||028202038|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:50 am|ACC|||
BREWER|N||100275406|D|1-1|2|8|128|1|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 01:45 pm|ACC|||
BREWER|N||051106190|R|1-1|2|8|128|1|TR|06/03/2014|MV|06/03/2014|||REJ|||
BREWER|N||051017992|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:30 pm|ACC|||
BREWER|N||051017994|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:30 pm|ACC|||
BREWER|N||100365254|R|1-1|2|8|128|1|ER|06/03/2014|MV|06/03/2014|DV|06/09/2014 09:25 am|ACC|||
BREWER|N||050204682|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:20 pm|ACC|||
BREWER|N||042700816|D|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:56 pm|ACC|||
BREWER|N||100064747|D|1-1|2|8|128|1|TR|06/05/2014|MV|06/06/2014|DV|06/09/2014 03:30 pm|ACC|||
BREWER|N||051205419|D|1-1|2|8|128|1|TR|05/21/2014|MV|05/21/2014|MA|05/28/2014 09:52 am|ACC|||
BREWER|N||051107413|R|1-1|2|8|128|1|TR|05/27/2014|MV|05/27/2014|MA|06/02/2014 10:05 am|ACC|||
BREWER|N||030003277|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:55 am|ACC|||
BREWER|N||030003282|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:15 am|ACC|||
BREWER|N||051107527|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:55 am|ACC|||
BREWER|N||051107541|R|1-1|2|8|128|1|TR|05/28/2014|MV|05/28/2014|MA|06/02/2014 10:05 am|ACC|||
BREWER|N||028400998|R|1-1|2|8|128|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:20 pm|ACC|||
BRIDGEWATER|N||100117560|D|1-1|2|2|145|1|VP|05/15/2014|VP|05/15/2014|VP|05/15/2014 01:55 pm|ACC|||
BRIDGTON|N||100198704|R|1-1|1|19|69|1|WV|05/23/2014|IV|05/23/2014|DV|05/28/2014 02:33 pm|ACC|||
BRIDGTON|N||008400572|D|1-1|1|19|69|1|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 02:28 pm|ACC|||
BRIDGTON|N||008400573|D|1-1|1|19|69|1|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 02:29 pm|ACC|||
BRIDGTON|N||008400674|R|1-1|1|19|69|1|WV|06/02/2014|IF|06/02/2014|IF|06/04/2014 01:52 pm|ACC|||
BRIDGTON|N||008400879|R|1-1|1|19|69|1|TR|05/12/2014|MV|05/12/2014|DV|05/19/2014 11:49 am|ACC|||
BRIDGTON|N||008401133|R|1-1|1|19|69|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 04:44 pm|ACC|||
BRIDGTON|N||008401160|D|1-1|1|19|69|1|WV|06/02/2014|IV|06/02/2014|MA|06/06/2014 11:28 am|ACC|||
BRIDGTON|N||050300570|D|1-1|1|19|69|1|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 11:21 am|ACC|||
BRIDGTON|N||008601072|R|1-1|1|19|69|1|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 02:36 pm|ACC|||
BRIDGTON|N||008401875|D|1-1|1|19|69|1|WV|06/05/2014|IV|06/05/2014|DV|06/05/2014 04:30 pm|ACC|||
BRIDGTON|N||008402129|G|1-1|1|19|69|1|VP|06/09/2014|VP|06/09/2014|VP|06/09/2014 08:52 am|ACC|||
BRIDGTON|N||008402190|D|1-1|1|19|69|1|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 11:02 am|ACC|||
BRIDGTON|N||100084285|R|1-1|1|19|69|1|VP|06/09/2014|VP|06/09/2014|VP|06/09/2014 02:19 pm|ACC|||
BRIDGTON|N||100084283|R|1-1|1|19|69|1|VP|06/09/2014|VP|06/09/2014|VP|06/09/2014 02:18 pm|ACC|||
BRIDGTON|N||100078762|D|1-1|1|19|69|1|WV|06/02/2014|IF|06/02/2014|DV|06/09/2014 03:23 pm|ACC|||
BRIDGTON|N||100084263|D|1-1|1|19|69|1|WV|06/02/2014|IV|06/02/2014|DV|06/09/2014 03:23 pm|ACC|||
BRIDGTON|N||008402720|R|1-1|1|19|69|1|VP|05/28/2014|VP|05/28/2014|VP|05/28/2014 09:13 am|ACC|||
BRIDGTON|N||008402794|D|1-1|1|19|69|1|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 11:22 am|ACC|||
BRIDGTON|N||100173444|D|1-1|1|19|69|1|ER|05/13/2014|MV|05/14/2014|MA|05/28/2014 12:48 pm|ACC|||
BRIDGTON|N||008403140|R|1-1|1|19|69|1|WV|06/06/2014|IF|06/06/2014|IF|06/09/2014 08:13 am|ACC|||
BRIDGTON|N||008403141|R|1-1|1|19|69|1|WV|06/06/2014|IV|06/06/2014|DV|06/06/2014 03:35 pm|ACC|||
BRIDGTON|N||008403375|R|1-1|1|19|69|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 10:32 am|ACC|||
BRIDGTON|N||008403379|R|1-1|1|19|69|1|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 11:32 am|ACC|||
BRIDGTON|N||100140564|G|1-1|1|19|69|1|WV|06/03/2014|IF|06/03/2014|IF|06/10/2014 01:30 pm|ACC|||
BRIDGTON|N||008403627|R|1-1|1|19|69|1|VP|06/09/2014|VP|06/09/2014|VP|06/09/2014 08:24 am|ACC|||
BRIDGTON|N||008403700|R|1-1|1|19|69|1|VP|06/06/2014|VP|06/06/2014|VP|06/06/2014 12:15 pm|ACC|||
BRIDGTON|N||008403701|R|1-1|1|19|69|1|VP|06/06/2014|VP|06/06/2014|VP|06/06/2014 12:26 pm|ACC|||
BRISTOL|N|O|100076686|D|1-1|1|13|90|2|UR|10/29/2013|EL|04/24/2014|||REJ|||
BROOKLIN|N||012800014|R|1-1|2|7|133|2|WV|06/03/2014|IF|06/03/2014|MA|06/05/2014 01:12 pm|ACC|||
BROOKLIN|N||012800451|D|1-1|2|7|133|2|WV|06/03/2014|IF|06/03/2014|MA|06/05/2014 01:11 pm|ACC|||
BROOKLIN|N||012800462|D|1-1|2|7|133|2|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 05:08 pm|ACC|||
BROOKLIN|N||012800463|D|1-1|2|7|133|2|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 05:08 pm|ACC|||
BROOKLIN|N||012800702|R|1-1|2|7|133|2|WV|05/27/2014|IV|05/27/2014|DV|05/29/2014 01:14 pm|ACC|||
BROOKLIN|N||012800706|R|1-1|2|7|133|2|TR|05/13/2014|MV|05/13/2014|MA|05/20/2014 07:00 am|ACC|||
BROOKLIN|N||012800708|R|1-1|2|7|133|2|WV|05/27/2014|IF|05/27/2014|DV|05/29/2014 01:15 pm|ACC|||
BROOKLIN|N||012800711|R|1-1|2|7|133|2|TR|05/13/2014|MV|05/13/2014|MA|05/20/2014 07:00 am|ACC|||
BROOKS|N||100183061|R|1-1|2|11|99|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 05:12 pm|ACC|||
BROOKS|N||038500471|D|1-1|2|11|99|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 05:13 pm|ACC|||
BROOKS|N||100025170|R|1-1|2|11|99|3|WV|06/04/2014|IV|06/04/2014|DV|06/05/2014 05:09 pm|ACC|||
BROOKS|N||038500362|R|1-1|2|11|99|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 05:10 pm|ACC|||
BROOKSVILLE|N||100035484|D|1-1|2|7|133|2|WV|05/14/2014|MV|05/14/2014|MA|05/21/2014 11:28 am|ACC|||
BROOKSVILLE|N||012900109|R|1-1|2|7|133|2|VP|05/21/2014|VP|05/21/2014|VP|05/21/2014 01:48 pm|ACC|||
BROOKSVILLE|N||012900110|R|1-1|2|7|133|2|VP|05/21/2014|VP|05/21/2014|VP|05/21/2014 01:49 pm|ACC|||
BROOKSVILLE|N||012900113|D|1-1|2|7|133|2|VP|06/09/2014|VP|06/09/2014|VP|06/09/2014 10:15 am|ACC|||
BROOKSVILLE|N||100085545|D|1-1|2|7|133|2|ER|03/20/2014|MV|05/28/2014|||REJ|||
BROOKSVILLE|N||100085545|D|1-1|2|7|133|2|WV|05/29/2014|MV|05/29/2014|||REJ|2||
BROOKSVILLE|N||012900170|D|1-1|2|7|133|2|TR|05/22/2014|MV|05/22/2014|IF|06/10/2014 06:08 pm|ACC|||
BROOKSVILLE|N||012900196|R|1-1|2|7|133|2|WV|05/14/2014|MV|05/14/2014|MA|05/21/2014 11:25 am|ACC|||
BROOKSVILLE|N||012900199|R|1-1|2|7|133|2|WV|05/14/2014|MV|05/14/2014|MA|05/21/2014 11:18 am|ACC|||
BROOKSVILLE|N||012900249|D|1-1|2|7|133|2|VP|06/09/2014|VP|06/09/2014|VP|06/09/2014 09:21 am|ACC|||
BROOKSVILLE|N||012900274|D|1-1|2|7|133|2|WV|06/09/2014|IF|06/09/2014|TP|06/09/2014 01:56 pm|REJ|||
BROOKSVILLE|N||012900278|R|1-1|2|7|133|2|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 06:17 pm|ACC|||
BROOKSVILLE|N||100200665|R|1-1|2|7|133|2|WV|05/14/2014|MV|05/14/2014|MA|06/09/2014 10:23 am|ACC|||
BROOKSVILLE|N||012900405|D|1-1|2|7|133|2|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 12:09 pm|ACC|||
BROOKSVILLE|N||012900406|D|1-1|2|7|133|2|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 12:54 pm|ACC|||
BROOKSVILLE|N||012900424|D|1-1|2|7|133|2|WV|05/14/2014|MV|05/14/2014|MA|05/21/2014 11:27 am|ACC|||
BROOKSVILLE|N||012900475|D|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|||REJ|||
BROOKSVILLE|N||012900476|D|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|||REJ|||
BROOKSVILLE|N||012900651|R|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|||REJ|||
BROOKSVILLE|N||012900702|D|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|||REJ|||
BROOKSVILLE|N||012900704|D|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|MA|06/09/2014 10:18 am|ACC|||
BROOKSVILLE|N||012900705|R|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|||REJ|||
BROOKSVILLE|N||012900707|D|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|MA|06/09/2014 11:50 am|ACC|||
BROOKSVILLE|N||012900737|R|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|MA|06/10/2014 01:35 pm|ACC|||
BROOKSVILLE|N||012900745|D|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|MA|06/10/2014 01:36 pm|ACC|||
BROOKSVILLE|N||012900752|R|1-1|2|7|133|2|WV|05/14/2014|MV|05/14/2014|MA|05/21/2014 11:26 am|ACC|||
BROOKSVILLE|N||012900764|R|1-1|2|7|133|2|TR|05/28/2014|MV|05/28/2014|MA|06/05/2014 06:18 pm|ACC|||
BROOKSVILLE|N||012900766|R|1-1|2|7|133|2|WV|05/07/2014|MV|05/07/2014|MA|05/28/2014 10:47 am|ACC|||
BROOKSVILLE|N||012900791|D|1-1|2|7|133|2|VP|06/09/2014|VP|06/09/2014|VP|06/09/2014 10:16 am|ACC|||
BROOKSVILLE|N||012900805|D|1-1|2|7|133|2|WV|06/06/2014|IF|06/06/2014|IF|06/10/2014 01:37 pm|ACC|||
BROWNFIELD|N||100152481|R|1-1|2|19|70|1|WV|06/05/2014|IV|06/10/2014|DV|06/10/2014 12:00 am|ACC|||
BROWNFIELD|N||022200090|R|1-1|2|19|70|1|WV|06/05/2014|IV|06/05/2014|DV|06/10/2014 11:43 am|ACC|||
BROWNFIELD|N||022200124|D|1-1|2|19|70|1|VP|06/06/2014|VP|06/06/2014|VP|06/06/2014 04:16 pm|ACC|||
BROWNFIELD|N||009100355|D|1-1|2|19|70|1|WV|06/06/2014|IV|06/06/2014|IF|06/10/2014 12:15 pm|ACC|||
BROWNFIELD|N||022200448|R|1-1|2|19|70|1|WV|06/04/2014|IF|06/04/2014|IF|06/06/2014 04:20 pm|ACC|||
BROWNFIELD|N||022200449|R|1-1|2|19|70|1|WV|06/04/2014|IV|06/04/2014|DV|06/06/2014 04:19 pm|ACC|||
BROWNFIELD|N||022200582|R|1-1|2|19|70|1|WV|05/31/2014|IF|05/31/2014|IF|06/03/2014 09:10 am|ACC|||
BROWNFIELD|N||100184743|D|1-1|2|19|70|1|WV|05/31/2014|IV|05/31/2014|DV|06/03/2014 09:10 am|ACC|||
BROWNFIELD|N||022200584|R|1-1|2|19|70|1|WV|05/31/2014|IF|05/31/2014|IF|06/03/2014 09:10 am|ACC|||
BROWNFIELD|N||022200693|D|1-1|2|19|70|1|VP|05/23/2014|VP|05/23/2014|VP|05/23/2014 09:06 am|ACC|||
BROWNFIELD|N||022200706|G|1-1|2|19|70|1|WV|06/05/2014|||||REJ|||
BROWNFIELD|N||022200708|G|1-1|2|19|70|1|WV|06/05/2014|||||REJ|||
BROWNFIELD|N||022200871|R|1-1|2|19|70|1|WV|05/29/2014|IV|05/29/2014|IF|06/10/2014 05:28 pm|ACC|||
BROWNFIELD|N||022200998|D|1-1|2|19|70|1|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 03:06 pm|ACC|||
BROWNFIELD|N||022200999|D|1-1|2|19|70|1|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 02:20 pm|ACC|||
BROWNFIELD|N||022201028|D|1-1|2|19|70|1|WV|06/04/2014|IV|06/04/2014|DV|06/05/2014 03:20 pm|ACC|||
BROWNFIELD|N||022201035|R|1-1|2|19|70|1|WV|06/03/2014|IF|06/03/2014|MA|06/10/2014 11:10 am|ACC|||
BROWNFIELD|N||022201044|R|1-1|2|19|70|1|VP|05/28/2014|VP|05/28/2014|VP|05/28/2014 03:29 pm|ACC|||
BROWNVILLE|N||100177225|R|1-1|2|4|120|3|VP|05/28/2014|VP|05/28/2014|VP|05/28/2014 10:40 am|ACC|||
BROWNVILLE|N||032000736|R|1-1|2|4|120|3|ER|05/19/2014|MV|05/20/2014|MA|05/27/2014 10:35 am|ACC|||
BROWNVILLE|N||032000767|R|1-1|2|4|120|3|TR|05/21/2014|MV|05/21/2014|MA|05/27/2014 10:37 am|ACC|||
BROWNVILLE|N||032000783|D|1-1|2|4|120|3|TR|05/21/2014|MV|05/21/2014|MA|05/27/2014 10:37 am|ACC|||
BROWNVILLE|N||032000895|R|1-1|2|4|120|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:50 pm|ACC|||
BRUNSWICK|N||051500011|D|1-1|1|24|51|3|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 01:36 pm|ACC|||
BRUNSWICK|N||049100055|D|7-1|1|24|50|3|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 02:54 pm|ACC|||
BRUNSWICK|N||049100136|D|6-1|1|24|49|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:31 am|ACC|||
BRUNSWICK|N||100140558|D|5-1|1|24|50|3|WV|05/29/2014|IV|05/29/2014|||REJ|||
BRUNSWICK|N||100140558|D|5-1|1|24|50|3|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 03:23 pm|ACC|2||
BRUNSWICK|N||100000906|D|3-1|1|24|49|3|ER|05/17/2014|MV|05/17/2014|MA|05/28/2014 10:00 am|ACC|||
BRUNSWICK|N||049100434|R|2-1|1|24|50|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 09:41 am|ACC|||
BRUNSWICK|N||034400059|D|7-1|1|24|49|3|TR|06/05/2014|MV|06/05/2014|MA|06/09/2014 11:00 am|ACC|||
BRUNSWICK|N||049100474|D|5-1|1|24|50|3|ER|05/29/2014|MV|05/29/2014|||REJ|||
BRUNSWICK|N||049100495|D|3-1|1|24|49|3|TR|05/22/2014|MV|05/22/2014|MA|06/04/2014 11:00 am|ACC|||
BRUNSWICK|N||049100545|R|1-1|1|24|51|3|VP|05/30/2014|VP|05/30/2014|VP|05/30/2014 09:49 am|ACC|||
BRUNSWICK|N||049100675|D|3-1|1|24|49|3|TR|06/04/2014|MV|06/04/2014|IF|06/05/2014 02:19 pm|ACC|||
BRUNSWICK|N||049100680|R|3-1|1|24|49|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 03:44 pm|ACC|||
BRUNSWICK|N||009600678|D|5-1|1|24|50|3|WV|05/29/2014|IV|05/29/2014|MA|06/02/2014 02:00 pm|ACC|||
BRUNSWICK|N||049100778|D|6-1|1|24|49|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 11:29 am|ACC|||
BRUNSWICK|N||049100781|R|5-1|1|24|50|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 04:22 pm|ACC|||
BRUNSWICK|N||100079707|D|4-1|1|24|49|3|ER|05/23/2014|MV|05/23/2014|MA|06/03/2014 12:10 pm|ACC|||
BRUNSWICK|N||100076860|D|4-1|1|24|49|3|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 10:14 am|ACC|||
BRUNSWICK|N||049101108|D|7-1|1|24|49|3|WV|05/19/2014|IF|05/19/2014|IF|05/21/2014 11:41 am|REJ|||
BRUNSWICK|N||049101108|D|7-1|1|24|49|3|WV|05/21/2014|IF|05/21/2014|MA|05/27/2014 10:53 am|ACC|2||
BRUNSWICK|N||049101124|R|7-1|1|24|49|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 11:15 am|ACC|||
BRUNSWICK|N||049101191|D|1-1|1|24|50|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 01:26 pm|ACC|||
BRUNSWICK|N||100406533|D|2-1|1|24|50|3|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 10:26 am|ACC|||
BRUNSWICK|N||048900609|D|7-1|1|24|49|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 08:55 am|ACC|||
BRUNSWICK|N||049101314|R|4-1|1|24|49|3|ER|05/29/2014|MV|05/29/2014|||REJ|||
BRUNSWICK|N||049114962|D|4-1|1|24|49|3|ER|05/29/2014|MV|05/29/2014|||REJ|||
BRUNSWICK|N||049101403|R|5-1|1|24|50|3|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 10:19 am|ACC|||
BRUNSWICK|N||049101411|R|5-1|1|24|50|3|WV|06/03/2014|IF|06/03/2014|DV|06/05/2014 10:44 am|ACC|||
BRUNSWICK|N||049101451|D|6-1|1|24|49|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 08:16 am|ACC|||
BRUNSWICK|N||100252804|D|5-1|1|24|50|3|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 01:06 pm|ACC|||
BRUNSWICK|N||049101498|D|5-1|1|24|50|3|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 01:02 pm|ACC|||
BRUNSWICK|N||049101527|D|1-1|1|24|50|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 12:43 pm|ACC|||
BRUNSWICK|N||047500231|D|6-1|1|24|49|3|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 09:51 am|ACC|||
BRUNSWICK|N||100248041|D|7-1|1|24|50|3|VP|05/23/2014|VP|05/23/2014|VP|05/23/2014 10:48 am|ACC|||
BRUNSWICK|N||049101574|R|3-1|1|24|49|3|WV|06/02/2014|IV|06/02/2014|MA|06/05/2014 11:00 am|ACC|||
BRUNSWICK|N||049500461|D|4-1|1|24|49|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 05:20 pm|ACC|||
BRUNSWICK|N||049101590|D|3-1|1|24|49|3|VP|05/30/2014|VP|05/30/2014|VP|05/30/2014 09:20 am|ACC|||
BRUNSWICK|N||100052476|D|6-1|1|24|49|3|VP|05/20/2014|VP|05/20/2014|VP|05/20/2014 10:55 am|ACC|||
BRUNSWICK|N||049101667|D|2-1|1|24|50|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 04:41 pm|ACC|||
BRUNSWICK|N||049101681|D|6-1|1|24|49|3|TR|05/08/2014|MV|05/12/2014|||REJ|||
BRUNSWICK|N||049101685|D|5-1|1|24|50|3|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 10:25 am|ACC|||
BRUNSWICK|N||049101691|D|5-1|1|24|50|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 06:47 pm|ACC|||
BRUNSWICK|N||020500245|D|1-1|1|24|50|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 12:31 pm|ACC|||
BRUNSWICK|N||100062341|R|2-1|1|24|50|3|ER|05/16/2014|MV|05/16/2014|MA|06/03/2014 12:10 pm|ACC|||
BRUNSWICK|N||100062344|R|2-1|1|24|50|3|ER|05/15/2014|MV|05/16/2014|MA|06/03/2014 12:10 pm|ACC|||
BRUNSWICK|N||049101764|D|6-1|1|24|50|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 03:12 pm|ACC|||
BRUNSWICK|N||051600782|D|5-1|1|24|50|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 03:40 pm|ACC|||
BRUNSWICK|N||049101824|D|7-1|1|24|50|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 02:33 pm|ACC|||
BRUNSWICK|N||100000713|R|4-1|1|24|49|3|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:08 am|ACC|||
BRUNSWICK|N||100000711|R|4-1|1|24|49|3|VP|05/27/2014|VP|05/27/2014|VP|05/27/2014 10:07 am|ACC|||
BRUNSWICK|N||100180848|D|1-1|1|24|50|3|ER|05/13/2014|MV|05/13/2014|MA|05/19/2014 10:47 am|ACC|||
BRUNSWICK|N||051600899|D|7-1|1|24|49|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 11:31 am|ACC|||
BRUNSWICK|N||049102062|R|1-1|1|24|50|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 12:18 pm|ACC|||
BRUNSWICK|N||049102063|R|1-1|1|24|50|3|WV|06/05/2014|IF|06/05/2014|IF|06/10/2014 04:36 pm|ACC|||
BRUNSWICK|N||050000942|R|7-1|1|24|49|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 02:10 pm|ACC|||
BRUNSWICK|N||051500939|R|4-1|1|24|49|3|VP|06/05/2014|VP|06/05/2014|VP|06/05/2014 12:06 pm|ACC|||
BRUNSWICK|N||049102123|D|4-1|1|24|49|3|WV|06/05/2014|IV|06/05/2014|DV|06/09/2014 04:00 pm|ACC|||
BRUNSWICK|N||049607121|D|2-1|1|24|50|3|VP|06/03/2014|VP|06/03/2014|VP|06/03/2014 12:14 pm|ACC|||
BRUNSWICK|N||051600962|R|7-1|1|24|49|3|VP|06/04/2014|VP|06/04/2014|VP|06/04/2014 08:34 am|ACC|||
BRUNSWICK|N||049102199|D|4-1|1|24|49|3|VP|06/02/2014|VP|06/02/2014|VP|06/02/2014 11:05 am|ACC|||
