,lon,lat,full_addr
104,-75.1755599,39.9504761,"201 S 21ST ST PHILADELPHIA, PA"
105,-75.177008,39.952495,"22ND and CHESTNUT STS PHILADELPHIA, PA"
106,-75.1653428,39.944679,"BROAD and LOMBARD STS PHILADELPHIA, PA"
107,-75.1668505,39.9545628,"1600 ARCH STREET PHILADELPHIA, PA"
108,-75.172482,39.9524112,"1919 CHESTNUT ST PHILADELPHIA, PA"
109,-75.1704118,39.9544535,"1815 JOHN F KENNEDY BLVD PHILADELPHIA, PA"
110,-75.1722291,39.9543129,"1900 JOHN F KENNEDY BLVD PHILADELPHIA, PA"
111,-75.172824,39.957108,"150 N 20TH ST PHILADELPHIA, PA"
112,-75.1658929,39.9480384,"1420 LOCUST ST PHILADELPHIA, PA"
113,-75.1761982,39.9602957,"2200 BEN FRANKLIN PKWY PHILADELPHIA, PA"
114,-75.1773837,39.9578592,"158 N 23RD ST PHILADELPHIA, PA"
115,-75.1750123,39.9638372,"2201 PENNSYLVANIA AVE PHILADELPHIA, PA"
116,-75.1681273,39.9599112,"2 FRANKLIN TOWN BLVD PHILADELPHIA, PA"
117,-75.1586989,39.982843,"15TH and GREEN STS PHILADELPHIA, PA"
118,-75.1798946,39.9526158,"2400 CHESTNUT ST PHILADELPHIA, PA"
119,-75.1832153,39.9478073,"TANEY and PINE STS PHILADELPHIA, PA"
120,-75.1718208,39.9547003,"1901 J F KENNEDY BLVD PHILADELPHIA, PA"
121,-75.1662372,39.963107,"17TH ST-SOUTH OF SPRING GARDEN PHILADELPHIA, PA"
122,-75.1889295,40.066498,"ARDLEIGH and GOWEN STS PHILADELPHIA, PA"
123,-75.1962141,40.0683727,"20 E MERMAID LANE PHILADELPHIA, PA"
124,-75.2092982,40.0777952,"8711 GERMANTOWN AVE PHILADELPHIA, PA"
125,-75.2085688,40.0790389,"22 E CHESTNUT HILL AVE PHILADELPHIA, PA"
126,-75.2080446,40.0747128,"101 W HIGHLAND AVE PHILADELPHIA, PA"
127,-75.2068821,40.0654501,"8000 ST MARTINS LANE PHILADELPHIA, PA"
128,-75.1906518,40.0622402,"7301 GERMANTOWN AVE PHILADELPHIA, PA"
129,-75.1955876,40.0575698,"200 W ALLENS LA @ CRESHEIM RD PHILADELPHIA, PA"
130,-75.2031325,40.052019,"601 W ALLENS LANE PHILADELPHIA, PA"
131,-75.193139,40.0752728,"7800 B STENTON AVE PHILADELPHIA, PA"
132,-75.1906974,40.0732581,"7600 STENTON AVE PHILADELPHIA, PA"
133,-75.147572,40.0640573,"1901 72ND AVE PHILADELPHIA, PA"
134,-75.149289,40.066552,"1962 PENFIELD ST PHILADELPHIA, PA"
135,-75.1545951,40.067404,"7400 BRIAR ROAD PHILADELPHIA, PA"
136,-75.1526455,40.0644358,"7200 N 21ST ST PHILADELPHIA, PA"
137,-75.1540726,40.0616978,"7105 LIMEKILN PIKE PHILADELPHIA, PA"
138,-75.15642,40.061234,"WALNUT LANE and WOOLSTON ST PHILADELPHIA, PA"
139,-75.1416318,40.055414,"6700 N BROAD ST PHILADELPHIA, PA"
140,-75.1482528,40.0587109,"19TH and HAINES STS PHILADELPHIA, PA"
141,-75.1438209,40.0576596,"6801 N 16TH ST PHILADELPHIA, PA"
142,-75.1695346,40.1400697,"WASHINGTON LA and LIMEKILN PK PHILADELPHIA, PA"
143,-75.1566938,40.0563251,"2116 E HAINES ST PHILADELPHIA, PA"
144,-75.153099,40.054986,"6600 LIMEKILN PIKE PHILADELPHIA, PA"
145,-75.1612505,40.0627391,"LOWBER and MAYLAND STS PHILADELPHIA, PA"
146,-75.162807,40.0584365,"7163 STENTON AVE PHILADELPHIA, PA"
147,-75.1698598,40.063557,"UPSAL and MANSFIELD STS PHILADELPHIA, PA"
148,-75.1600547,39.9948436,"1701 W LEHIGH AVE PHILADELPHIA, PA"
149,-75.1672221,39.9971987,"22ND and SOMERSET STS PHILADELPHIA, PA"
150,-75.1556886,40.0003223,"SYDENHAM and CLEARFIELD ST PHILADELPHIA, PA"
151,-75.1520755,40.0080438,"3600 N BROAD ST PHILADELPHIA, PA"
152,-75.1573199,40.0017069,"1628 W ALLEGHENY AVE PHILADELPHIA, PA"
153,-75.1662473,40.0016858,"22ND and CLEARFIELD STS PHILADELPHIA, PA"
154,-75.1548117,40.006832,"1531 W TIOGA ST PHILADELPHIA, PA"
155,-75.1595088,40.006935,"1828 W TIOGA ST PHILADELPHIA, PA"
156,-75.1643311,39.9977946,"2829 N LAMBERT ST PHILADELPHIA, PA"
157,-75.1604779,40.0057393,"1919-1941 W ONTARIO ST PHILADELPHIA, PA"
158,-75.1671938,40.0039332,"2233 W ALLEGHENY AVE PHILADELPHIA, PA"
159,-75.1642215,40.0090619,"2104 W VENANGO ST PHILADELPHIA, PA"
160,-75.1605283,40.0496652,"CHELTEN AVE and ARDLEIGH ST PHILADELPHIA, PA"
161,-75.1616574,40.0485656,"CHELTEN and SPRAGUE ST PHILADELPHIA, PA"
162,-75.1648669,40.0444352,"5648 CHEW AVE PHILADELPHIA, PA"
163,-75.1602052,40.0365733,"5136-38 BELFIELD AVE PHILADELPHIA, PA"
164,-75.1673065,40.0422642,"500 E CHELTEN AVE PHILADELPHIA, PA"
165,-75.1716222,40.0388543,"CHELTEN AVE and BAYNTON ST PHILADELPHIA, PA"
166,-75.172523,40.025758,"PULASKI and HANSBERRY STS PHILADELPHIA, PA"
167,-75.1701785,40.0356805,"200 E CHURCH LANE PHILADELPHIA, PA"
168,-75.1637269,40.0346423,"285 E ASHMEAD ST PHILADELPHIA, PA"
169,-75.1774749,40.0248873,"501 W KING ST PHILADELPHIA, PA"
170,-75.1656579,40.0335477,"BRINGHURST and WAKEFIELD STS PHILADELPHIA, PA"
171,-75.1759246,40.0304888,"5457 WAYNE AVE PHILADELPHIA, PA"
172,-75.1723646,40.0312435,"100 W COULTER ST PHILADELPHIA, PA"
173,-75.1661505,40.0245595,"WAYNE and LOGAN STS PHILADELPHIA, PA"
174,-75.1816014,40.0286994,"406 W CHELTEN AVE PHILADELPHIA, PA"
175,-75.1756759,40.0255762,"5310 MORRIS ST PHILADELPHIA, PA"
176,-75.156684,40.0200017,"4340 GERMANTOWN AVE PHILADELPHIA, PA"
177,-75.1511178,40.0237235,"1539 W COURTLAND ST PHILADELPHIA, PA"
178,-75.1544675,40.0174016,"4153 GERMANTOWN AVE PHILADELPHIA, PA"
179,-75.1542645,40.0152324,"1648 W HUNTING PARK AVE PHILADELPHIA, PA"
180,-75.1559986,40.0155708,"1717 W HUNTING PARK AVE PHILADELPHIA, PA"
181,-75.164574,40.010887,"22ND and HUNTING PARK AVE PHILADELPHIA, PA"
182,-75.158827,40.011861,"19TH and BUTLER STS PHILADELPHIA, PA"
183,-75.1514142,40.0099774,"3720 N BROAD ST PHILADELPHIA, PA"
184,-75.1545837,39.9628161,"1001 GREEN ST PHILADELPHIA, PA"
185,-75.1524108,39.9721591,"1240 N 10TH ST PHILADELPHIA, PA"
186,-75.1575023,39.966808,"1221 FAIRMOUNT AVE PHILADELPHIA, PA"
187,-75.155587,39.9656161,"1100 FAIRMOUNT AVE PHILADELPHIA, PA"
188,-75.205924,39.967243,"800 N 08TH ST PHILADELPHIA, PA"
189,-75.1553787,39.9688478,"1100 POPLAR ST PHILADELPHIA, PA"
190,-75.1524859,39.9698429,"953 N 10TH ST PHILADELPHIA, PA"
191,-75.1502017,39.9621639,"700 GREEN ST PHILADELPHIA, PA"
192,-75.1486779,39.9640275,"702 MARSHALL PLACE PHILADELPHIA, PA"
193,-75.181667,39.9727997,"2720 POPLAR ST PHILADELPHIA, PA"
194,-75.167223,39.9659498,"18TH and WALLACE STS PHILADELPHIA, PA"
195,-75.1805976,39.9687938,"2601 PENNSYLVANIA AVE PHILADELPHIA, PA"
196,-75.1765542,39.9689352,"755 N 24TH ST PHILADELPHIA, PA"
197,-75.1776573,39.9670021,"2401 PENNSYLVANIA AVE PHILADELPHIA, PA"
198,-75.1626048,39.9696235,"1539 PARRISH ST PHILADELPHIA, PA"
199,-75.173603,39.970681,"22ND and PARRISH STS PHILADELPHIA, PA"
200,-75.1619217,39.9540591,"FRANCIS and SHIRLEY STS PHILADELPHIA, PA"
201,-75.1714218,39.9702618,"839 N WOODSTOCK ST PHILADELPHIA, PA"
202,-75.177135,39.9668368,"24TH and WALLACE STS PHILADELPHIA, PA"
203,-75.1687201,39.9641888,"1831 B BRANDYWINE ST PHILADELPHIA, PA"
204,-75.1686806,39.9667136,"19TH and NORTH STS PHILADELPHIA, PA"
205,-75.1710913,39.9642623,"560 N 20TH ST PHILADELPHIA, PA"
206,-75.1763977,39.9715969,"854-70 N 24TH ST PHILADELPHIA, PA"
207,-75.1572169,39.9865784,"1421 W SUSQUEHANNA AVE PHILADELPHIA, PA"
208,-75.1575994,39.9889493,"2332 N 15TH ST PHILADELPHIA, PA"
209,-75.1634386,39.9861688,"2121 GRATZ ST PHILADELPHIA, PA"
210,-75.16194,39.9901946,"18TH and YORK STS PHILADELPHIA, PA"
211,-75.1679146,39.9940228,"22ND and HUNTINGDON STS PHILADELPHIA, PA"
212,-75.1710457,39.9874508,"2301 W EDGLEY ST PHILADELPHIA, PA"
213,-75.1694497,39.9934813,"2521 N 23RD ST PHILADELPHIA, PA"
214,-75.1454314,40.0509778,"16TH and CHELTEN AVE PHILADELPHIA, PA"
215,-75.1453715,40.0496318,"6300 OLD YORK ROAD PHILADELPHIA, PA"
216,-75.1487919,40.0468253,"6101 LIMEKILN PIKE PHILADELPHIA, PA"
217,-75.1519834,40.0502657,"OPAL and MEDARY STS PHILADELPHIA, PA"
218,-75.156277,40.0518854,"2122 CHELTEN AVE PHILADELPHIA, PA"
219,-75.1559062,40.0475974,"6100 N 21ST ST PHILADELPHIA, PA"
220,-75.1536488,40.0438336,"1953 NEDRO AVE PHILADELPHIA, PA"
221,-75.1741405,40.0512041,"21ST ST and CHEW AVE PHILADELPHIA, PA"
222,-75.149796,40.043673,"NEDRO and OGONTZ AVE PHILADELPHIA, PA"
223,-75.1495684,40.0423857,"5801 OGONTZ AVE PHILADELPHIA, PA"
224,-75.1456954,40.0404987,"1424 CLEARVIEW ST PHILADELPHIA, PA"
225,-75.1469347,40.0390353,"1500 W OLNEY AVE PHILADELPHIA, PA"
226,-75.1506845,40.0286272,"1605 W ROCKLAND ST PHILADELPHIA, PA"
227,-75.156341,40.028368,"1950 W ROCKLAND ST PHILADELPHIA, PA"
228,-75.1378564,39.9723032,"HANCOCK and MASTER STS PHILADELPHIA, PA"
229,-75.1312102,39.9671622,"236 RICHMOND ST PHILADELPHIA, PA"
230,-75.141745,39.9827826,"ORKNEY and DIAMOND STS PHILADELPHIA, PA"
231,-75.1292308,39.9723583,"PALMER and THOMPSON STS PHILADELPHIA, PA"
232,-75.1271351,39.9714081,"E MONTGOMERY and GIRARD AVES PHILADELPHIA, PA"
233,-75.1419396,39.9699972,"301 W GIRARD AVE PHILADELPHIA, PA"
234,-75.132141,39.975405,"1601 E PALMER ST PHILADELPHIA, PA"
235,-75.1261246,39.9754254,"1401 E SUSQUEHANNA AVE PHILADELPHIA, PA"
236,-75.1348666,39.9809036,"2011 N MASCHER ST PHILADELPHIA, PA"
237,-75.1413704,39.9739505,"1501-11 GERMANTOWN AVE PHILADELPHIA, PA"
238,-75.1345637,39.9787807,"HOWARD and BERKS STS PHILADELPHIA, PA"
239,-75.1385264,39.9997416,"5TH and ALLEGHENY AVE PHILADELPHIA, PA"
240,-75.142681,39.9634851,"3RD and ONTARIO STS PHILADELPHIA, PA"
241,-75.1411778,39.9969148,"6TH and INDIANA AVE PHILADELPHIA, PA"
242,-75.1365693,39.9937798,"2800 N AMERICAN ST PHILADELPHIA, PA"
243,-75.1379832,39.9941607,"2820 N 4TH ST PHILADELPHIA, PA"
244,-75.13412,39.986338,"2354 N MASCHER ST PHILADELPHIA, PA"
245,-75.1330802,39.9865954,"2400 N HOWARD ST PHILADELPHIA, PA"
246,-75.1354451,39.9835972,"HANCOCK and SUSQUEHANNA AVE PHILADELPHIA, PA"
247,-75.1931826,40.0085959,"4TH and YORK STS PHILADELPHIA, PA"
248,-75.140271,39.9907141,"2603 N 05TH ST PHILADELPHIA, PA"
249,-75.1359366,39.9875501,"2426 N 2ND ST PHILADELPHIA, PA"
250,-75.1477557,39.9781971,"1701 N 08TH ST PHILADELPHIA, PA"
251,-75.1442472,39.9726882,"1401 N 06TH ST PHILADELPHIA, PA"
252,-75.1513081,39.9763895,"10TH and OXFORD STS PHILADELPHIA, PA"
253,-75.1489288,39.9770706,"1600 N 08TH ST PHILADELPHIA, PA"
254,-75.1471324,39.9834805,"8TH and DIAMOND STS PHILADELPHIA, PA"
255,-75.1568638,39.9750452,"1300 W JEFFERSON ST PHILADELPHIA, PA"
256,-75.1271864,39.9765164,"12TH and SUSQUEHANNA AVE PHILADELPHIA, PA"
257,-75.151665,39.9812735,"1915 N 11TH STREET PHILADELPHIA, PA"
258,-75.2117599,40.0197023,"3815 TERRACE ST PHILADELPHIA, PA"
259,-75.2303682,40.0566043,"7901 HENRY AVE PHILADELPHIA, PA"
260,-75.2221534,40.0234063,"7 LOCK STREET PHILADELPHIA, PA"
261,-75.2386,40.052043,"SHAWMONT AVE and EVA ST PHILADELPHIA, PA"
262,-75.2244987,40.0286911,"175 GREEN LANE PHILADELPHIA, PA"
263,-75.2288211,40.0338473,"201 FOUNTAIN ST PHILADELPHIA, PA"
264,-75.2139481,40.0275954,"403 RECTOR ST PHILADELPHIA, PA"
265,-75.2182103,40.0273846,"235 COTTON ST PHILADELPHIA, PA"
266,-75.2075323,40.0217438,"RIGHTER and SALAIGNAC STS PHILADELPHIA, PA"
267,-75.2085688,40.0210131,"5301 RIDGE AVE PHILADELPHIA, PA"
268,-75.2165009,40.0300449,"401 MARTIN ST PHILADELPHIA, PA"
269,-75.2228086,40.0377785,"6400 RIDGE AVENUE PHILADELPHIA, PA"
270,-75.2243803,40.0402212,"RIDGE and CINNAMINSON ST PHILADELPHIA, PA"
271,-75.1809121,40.0244097,"5450 WISSAHICKON AVE PHILADELPHIA, PA"
272,-75.1901128,40.0382029,"WAYNE AVE and JOHNSON ST PHILADELPHIA, PA"
273,-75.2100059,40.0280204,"RIDGE AVE and JAMESTOWN ST PHILADELPHIA, PA"
274,-75.2253898,40.040964,"6730 RIDGE AVE PHILADELPHIA, PA"
275,-75.221315,40.0494545,"7100 HENRY AVE PHILADELPHIA, PA"
276,-75.2428014,40.064316,"600 E CATHEDRAL RD PHILADELPHIA, PA"
277,-75.232532,40.068361,"WISSAHICKON and GRAKYN LA PHILADELPHIA, PA"
278,-75.2346428,40.0603172,"8201 HENRY AVE PHILADELPHIA, PA"
279,-75.232498,40.045071,"DOMINO LA and RIDGE AVE PHILADELPHIA, PA"
280,-75.2384494,40.0643502,"705 E CATHEDRAL ROAD PHILADELPHIA, PA"
281,-75.1943448,40.0459051,"6757 GREENE ST PHILADELPHIA, PA"
282,-75.1881309,40.0410218,"6400 GREENE ST PHILADELPHIA, PA"
283,-75.1949375,40.0501769,"400 W ELLET ST PHILADELPHIA, PA"
284,-75.1891929,40.0551519,"6950 GERMANTOWN AVE PHILADELPHIA, PA"
285,-75.1859785,40.0533417,"6753 GERMANTOWN AVE PHILADELPHIA, PA"
286,-75.186366,40.043886,"220 W UPSAL ST PHILADELPHIA, PA"
287,-75.1846335,40.0518926,"6671 GERMANTOWN AVE PHILADELPHIA, PA"
288,-75.1834169,40.0569015,"PLEASANT ST and CHEW AVE PHILADELPHIA, PA"
289,-75.1825817,40.0479013,"6445 GERMANTOWN AVE PHILADELPHIA, PA"
290,-75.1779395,40.0511822,"6415 MUSGRAVE ST PHILADELPHIA, PA"
291,-75.1880739,40.0569055,"GERMANTOWN AVE and SEDGWICK ST PHILADELPHIA, PA"
292,-75.1779933,40.0535677,"CHEW and UPSAL STS PHILADELPHIA, PA"
293,-75.1794812,40.0667809,"610 E MT PLEASANT AVE PHILADELPHIA, PA"
294,-75.1746023,40.0595217,"6611 ARDLEIGH ST PHILADELPHIA, PA"
295,-75.1685058,40.0591341,"CRITTENDEN and JOHNSON STS PHILADELPHIA, PA"
296,-75.0871674,40.013473,"4442 FRANKFORD AVE PHILADELPHIA, PA"
297,-75.0915059,40.0210282,"ARROTT and LARGE STS PHILADELPHIA, PA"
298,-75.0850688,40.0157856,"4634 FRANKFORD AVE PHILADELPHIA, PA"
299,-75.0843959,40.0223965,"OXFORD and WAKELING STS PHILADELPHIA, PA"
300,-75.0872063,40.0257042,"LARGE and DYRE STS PHILADELPHIA, PA"
301,-75.1127142,40.0221531,"4800 WHITAKER AVE PHILADELPHIA, PA"
302,-75.0775439,40.0055498,"2369 ORTHODOX ST PHILADELPHIA, PA"
303,-75.0728635,40.011386,"TULIP and WAKELING ST PHILADELPHIA, PA"
304,-75.0851144,40.0118313,"1655 UNITY ST PHILADELPHIA, PA"
305,-75.0803059,40.01106,"2006 ORTHODOX ST PHILADELPHIA, PA"
306,-75.0779646,40.0151798,"1824-26 FOULKROD ST PHILADELPHIA, PA"
307,-75.0737376,40.0137156,"DITMAN and WAKELING ST PHILADELPHIA, PA"
308,-75.0813433,40.0171849,"DARRAH and FOULKROD STS PHILADELPHIA, PA"
309,-75.1937854,39.9598814,"36TH and POWELTON AVE PHILADELPHIA, PA"
310,-75.1916037,39.9640584,"34TH and HAVERFORD AVE PHILADELPHIA, PA"
311,-75.1949327,39.9660187,"36TH and FAIRMOUNT AVE PHILADELPHIA, PA"
312,-75.2007276,39.9574429,"3901 MARKET ST PHILADELPHIA, PA"
313,-75.199565,39.9640638,"631 N 39TH ST PHILADELPHIA, PA"
314,-75.199715,39.9602332,"325 N 39TH ST PHILADELPHIA, PA"
315,-75.1861589,39.9735309,"4015-17 POPLAR ST PHILADELPHIA, PA"
