"","lon","lat","full_addr"
"131",-75.2161007,39.9321122,"5404 GIBSON DR PHILADELPHIA, PA"
"132",-75.2235209,39.9367646,"5500 KINGSESSING AVE PHILADELPHIA, PA"
"133",-75.2265056,39.9417623,"5400 WARRINGTON AVE PHILADELPHIA, PA"
"134",-75.2325639,39.940634,"5700 WILLOWS AVE PHILADELPHIA, PA"
"135",-75.2455992,39.9467347,"1034 S 60TH ST PHILADELPHIA, PA"
"136",-75.2097082,39.9421477,"1414 S 47TH ST PHILADELPHIA, PA"
"137",-75.234734,39.9486668,"728 S 55TH ST PHILADELPHIA, PA"
"138",-75.2197374,39.9584609,"4901 CHESTNUT ST PHILADELPHIA, PA"
"139",-75.2360013,39.9558309,"57TH and SPRUCE STS PHILADELPHIA, PA"
"140",-75.2386994,39.957781,"5800 WALNUT ST PHILADELPHIA, PA"
"141",-75.243748,39.9530684,"6001 CEDAR AVE PHILADELPHIA, PA"
"142",-75.1320084,39.9873773,"2400 N FRONT ST PHILADELPHIA, PA"
"143",-75.1671121,39.9970297,"2761 N 22ND ST PHILADELPHIA, PA"
"144",-75.1238706,39.9946782,"06TH ST and INDIANA AVE PHILADELPHIA, PA"
"145",-75.1209221,39.9970556,"3199 D ST PHILADELPHIA, PA"
"146",-75.1083971,40.0020968,"1099 E VENANGO ST PHILADELPHIA, PA"
"147",-75.1298191,40.0027826,"3449 N MASCHER ST PHILADELPHIA, PA"
"148",-75.1378431,40.0075705,"RANDOLPH ST and ERIE AVE PHILADELPHIA, PA"
"149",-75.1604779,40.0057393,"1919-1941 W ONTARIO ST PHILADELPHIA, PA"
"150",-75.1352466,40.0178072,"4344 N 5TH ST PHILADELPHIA, PA"
"151",-75.158827,40.011861,"19TH and BUTLER STS PHILADELPHIA, PA"
"152",-75.1659795,40.0242448,"4800 WAYNE AVE PHILADELPHIA, PA"
"153",-75.1571831,40.0187507,"4301 WAYNE AVE PHILADELPHIA, PA"
"154",-75.1460605,40.025576,"1300 W LOUDEN ST PHILADELPHIA, PA"
"155",-75.1357027,40.0312768,"641 LINDLEY AVE PHILADELPHIA, PA"
"156",-75.1206511,40.0213098,"231 E WYOMING AVE PHILADELPHIA, PA"
"157",-75.121016,40.0204949,"238 E WYOMING AVE PHILADELPHIA, PA"
"158",-75.1022679,40.0084329,"4001 L ST PHILADELPHIA, PA"
"159",-75.1223177,40.0346488,"B and GALE STS PHILADELPHIA, PA"
"160",-75.129582,40.0295569,"5100 N 3RD ST PHILADELPHIA, PA"
"161",-75.1741405,40.0512041,"10TH ST and CHEW AVE PHILADELPHIA, PA"
"162",-75.1462065,40.0389866,"1450 W OLNEY AVE PHILADELPHIA, PA"
"163",-75.156282,40.0414631,"2109 W CHEW AVE PHILADELPHIA, PA"
"164",-75.145951,40.0504785,"1610 W CHELTEN AVE PHILADELPHIA, PA"
"165",-75.1316332,40.0444451,"06TH and SPENCER STS PHILADELPHIA, PA"
"166",-75.1289069,40.0403065,"450 W NEDRO AVE PHILADELPHIA, PA"
"167",-75.1179599,40.0354247,"201 E OLNEY AVE PHILADELPHIA, PA"
"168",-75.1227789,40.049614,"65TH AVE and 2ND ST PHILADELPHIA, PA"
"169",-75.1385173,40.0551309,"6701 N 13TH ST PHILADELPHIA, PA"
"170",-75.2163654,39.9401631,"51ST ST and GREENWAY AVE PHILADELPHIA, PA"
"171",-75.1930036,39.9499701,"3401 SPRUCE ST PHILADELPHIA, PA"
"172",-75.2061845,39.956883,"42ND and LUDLOW STS PHILADELPHIA, PA"
"173",-75.1934174,39.9604351,"301 N 36TH ST PHILADELPHIA, PA"
"174",-75.215065,39.965863,"761 N 47TH ST PHILADELPHIA, PA"
"175",-75.2035085,39.9750378,"4021 PARKSIDE AVE PHILADELPHIA, PA"
"176",-75.2104379,39.9695013,"4300 WESTMINSTER AVE PHILADELPHIA, PA"
"177",-75.2201021,39.9673025,"4901 PARRISH ST PHILADELPHIA, PA"
"178",-75.2294922,39.9777073,"1621 N 54TH ST PHILADELPHIA, PA"
"179",-75.2381372,39.964814,"59TH and RACE STS PHILADELPHIA, PA"
"180",-75.241138,39.962258,"6011 MARKET ST PHILADELPHIA, PA"
"181",-75.2365255,39.9747558,"58TH and MEDIA STS PHILADELPHIA, PA"
"182",-75.2496835,39.9705519,"446 N 65TH ST PHILADELPHIA, PA"
"183",-75.2385627,39.9811217,"5898 LANCASTER AVE PHILADELPHIA, PA"
"184",-75.2519623,39.9732812,"640 N 66TH ST PHILADELPHIA, PA"
"185",-75.2672292,39.9755336,"7501 WOODBINE AVE PHILADELPHIA, PA"
"186",-75.2547879,39.9738044,"6722 LANSDOWNE AVE PHILADELPHIA, PA"
"187",-75.2421178,39.9864497,"5925 MALVERN AVE PHILADELPHIA, PA"
"188",-75.2332514,39.9951622,"5301 OVERBROOK AVE PHILADELPHIA, PA"
"189",-75.2130364,39.9791417,"4300 AVE OF THE REPUBLIC PHILADELPHIA, PA"
"190",-75.187059,39.988665,"33RD and DIAMOND STS PHILADELPHIA, PA"
