"Zone","POLLING PLACE","ADDRESS","full_addr"
"South 9","VARE RECREATION CENTER","2600 MORRIS ST","2600 MORRIS ST PHILADELPHIA, PA"
"South 10","WHARTON SQUARE RECREATION CTR","23RD & REED STS","23RD & REED STS PHILADELPHIA, PA"
"South 11","DISILVESTRO RECREATION CENTER","1701 S 15TH ST","1701 S 15TH ST PHILADELPHIA, PA"
"South 12","EAST PASSYUNK COMMUNITY CENTER","1025 MIFFLIN ST","1025 MIFFLIN ST PHILADELPHIA, PA"
"South 13","MT. MORIAH CHURCH","410 WHARTON ST","410 WHARTON ST PHILADELPHIA, PA"
"South 14","COLUMBUS SQUARE RECREATION CENTER","1200 WHARTON ST","1200 WHARTON ST PHILADELPHIA, PA"
"South 15","ACADEMY AT PALUMBO SCHOOL","1100 CATHARINE ST","1100 CATHARINE ST PHILADELPHIA, PA"
"South 16","ST STANISLAUS CHURCH HALL","242 FITZWATER","242 FITZWATER PHILADELPHIA, PA"
"Southwest 1","PENROSE SCHOOL","2515 S 77TH ST","2515 S 77TH ST PHILADELPHIA, PA"
"Southwest 2","CIBOTTI RECREATION CENTER","7700 ELMWOOD AVE","7700 ELMWOOD AVE PHILADELPHIA, PA"
"Southwest 3","FINNEGAN[J] RECREATION CENTER","69TH ST & GROVERS AVE","69TH ST & GROVERS AVE PHILADELPHIA, PA"
"Southwest 4","MORTON SCHOOL","2501 S 63RD ST","2501 S 63RD ST PHILADELPHIA, PA"
"Southwest 5","PASCHALLVILLE HOMES COMM CTR","7200 WOODLAND AVE","7200 WOODLAND AVE PHILADELPHIA, PA"
"Southwest 6","FRANCIS MYERS RECREATION CENTER","5800 CHESTER AVE","5800 CHESTER AVE PHILADELPHIA, PA"
"Southwest 7","BARTRAM VILLAGE  OFFICE","5404 GIBSON DR","5404 GIBSON DR PHILADELPHIA, PA"
"Southwest 8","MITCHELL SCHOOL","5500 KINGSESSING AVE","5500 KINGSESSING AVE PHILADELPHIA, PA"
"Southwest 9","MASTERY HARDY WILLIAMS","5400 WARRINGTON AVE","5400 WARRINGTON AVE PHILADELPHIA, PA"
"Southwest 10","LONGSTRETH SCHOOL","5700 WILLOWS AVE","5700 WILLOWS AVE PHILADELPHIA, PA"
"Southwest 11","ANDERSON SCHOOL","1034 S 60TH ST","1034 S 60TH ST PHILADELPHIA, PA"
"Southwest 12","48TH & WOODLAND PLAYGROUND","1414 S 47TH ST","1414 S 47TH ST PHILADELPHIA, PA"
"Southwest 13","CHRISTY RECREATION CENTER","728 S 55TH ST","728 S 55TH ST PHILADELPHIA, PA"
"Southwest 14","WEST PHILA HIGH SCHOOL","4901 CHESTNUT ST","4901 CHESTNUT ST PHILADELPHIA, PA"
"Southwest 15","HAMILTON SCHOOL","57TH & SPRUCE STS","57TH & SPRUCE STS PHILADELPHIA, PA"
"Southwest 16","SAYRE SCHOOL","5800 WALNUT ST","5800 WALNUT ST PHILADELPHIA, PA"
"Southwest 17","BRYANT SCHOOL","6001 CEDAR AVE","6001 CEDAR AVE PHILADELPHIA, PA"
"Upper North 1","HUNTER SCHOOL","2400 N FRONT ST","2400 N FRONT ST PHILADELPHIA, PA"
"Upper North 2","NORTH PHILA MUNICIPAL BUILDING","2761 N 22ND ST","2761 N 22ND ST PHILADELPHIA, PA"
"Upper North 3","POTTER THOMAS SCHOOL","06TH ST & INDIANA AVE","06TH ST & INDIANA AVE PHILADELPHIA, PA"
"Upper North 4","ELKIN SCHOOL","3199 D ST","3199 D ST PHILADELPHIA, PA"
"Upper North 5","SCANLON RECREATION CENTER","1099 E VENANGO ST","1099 E VENANGO ST PHILADELPHIA, PA"
"Upper North 6","CRAMP SCHOOL","3449 N MASCHER ST","3449 N MASCHER ST PHILADELPHIA, PA"
"Upper North 7","TAYLOR SCHOOL","RANDOLPH ST & ERIE AVE","RANDOLPH ST & ERIE AVE PHILADELPHIA, PA"
"Upper North 8","JEROME BROWN RECREATION CENTER","1919-1941 W ONTARIO ST","1919-1941 W ONTARIO ST PHILADELPHIA, PA"
"Upper North 9","CAYUGA SCHOOL","4344 N 5TH ST","4344 N 5TH ST PHILADELPHIA, PA"
"Upper North 10","MASTERY CLEVELAND CHARTER","19TH & BUTLER STS","19TH & BUTLER STS PHILADELPHIA, PA"
"Upper North 11","HAPPY HOLLOW RECREATION CENTER","4800 WAYNE AVE","4800 WAYNE AVE PHILADELPHIA, PA"
"Upper North 12","STEEL SCHOOL","4301 WAYNE AVE","4301 WAYNE AVE PHILADELPHIA, PA"
"Upper North 13","COOKE MIDDLE SCHOOL","1300 W LOUDEN ST","1300 W LOUDEN ST PHILADELPHIA, PA"
"Upper North 14","BARRETT PLAYGROUND","641 LINDLEY AVE","641 LINDLEY AVE PHILADELPHIA, PA"
"Upper North 15","WYOMING BRANCH LIBRARY","231 E WYOMING AVE","231 E WYOMING AVE PHILADELPHIA, PA"
"Upper North 16","FELTONVILLE INTERMEDIATE SCHOOL","238 E WYOMING AVE","238 E WYOMING AVE PHILADELPHIA, PA"
"Upper North 17","HOPKINSON LITTLE SCHOOL HOUSE","4001 L ST","4001 L ST PHILADELPHIA, PA"
"Upper North 18","ZIEHLER RECREATION CENTER","B & GALE STS","B & GALE STS PHILADELPHIA, PA"
"Upper North 19","MORRISON SCHOOL","5100 N 3RD ST","5100 N 3RD ST PHILADELPHIA, PA"
"Upper North 20","CHERASHORE RECREATION CENTER","10TH ST & CHEW AVE","10TH ST & CHEW AVE PHILADELPHIA, PA"
