Ward,Division,Address,Location,Building Code,Parking Code
11,17,1919-1941 W ONTARIO ST,JEROME BROWN RECREATION CENTER,F,L
11,18,22ND & CLEARFIELD STS,PANATI RECREATION CENTER,F,L
11,19,2829 N LAMBERT ST,WOODSTOCK HOMES COMM ROOM,M,L
11,20,22ND & SOMERSET STS,NORTH PHILA MUNICIPAL BUILDING,M,N
12,1,CHELTEN AVE & ARDLEIGH ST,LONNIE YOUNG REC CTR SR BLDG,A,L
12,2,CHELTEN & SPRAGUE ST,MASTERY PASTORIUS CHARTER,R,N
12,3,CHELTEN & SPRAGUE ST,MASTERY PASTORIUS CHARTER,R,N
12,4,5648 CHEW AVE,HARAMBE CHURCH,M,N
12,5,5136-38 BELFIELD AVE,P G W BUILDING,R,L
12,6,500 E CHELTEN AVE,SHRINE OF MIRACULOUS MEDAL,M,H
12,7,CHELTEN AVE & BAYNTON ST,FIRE ENGINE CO # 19,M,L
12,8,PULASKI & HANSBERRY STS,J B KELLY SCHOOL,R,L
12,9,200 E CHURCH LANE,HAMILL MILL APTS,F,L
12,10,285 E ASHMEAD ST,WISTER TOWNHOMES COMMUNITY CTR,F,L
12,11,501 W KING ST,EAGLES NEST SCHOOL,F,N
12,12,285 E ASHMEAD ST,WISTER TOWNHOMES COMMUNITY CTR,F,L
12,13,BRINGHURST & WAKEFIELD STS,WISTER SCHOOL,R,L
12,14,BRINGHURST & WAKEFIELD STS,WISTER SCHOOL,R,L
12,15,5457 WAYNE AVE,GERMANTOWN HOUSE,F,L
12,16,100 W COULTER ST,GERMANTOWN PROFESSIONAL BLDG,R,N
12,17,WAYNE & LOGAN STS,HAPPY HOLLOW RECREATION CENTER,A,N
12,18,PULASKI & HANSBERRY STS,J B KELLY SCHOOL,R,L
12,19,WAYNE & LOGAN STS,HAPPY HOLLOW RECREATION CENTER,A,L
12,20,WAYNE & LOGAN STS,HAPPY HOLLOW RECREATION CENTER,A,L
12,21,WAYNE & LOGAN STS,HAPPY HOLLOW RECREATION CENTER,A,L
12,22,406 W CHELTEN AVE,PHILA HAIR ARTISTRY,M,N
12,23,5310 MORRIS ST,HARVEST COMMUNITY CHURCH,R,N
12,24,5310 MORRIS ST,HARVEST COMMUNITY CHURCH,R,N
13,1,PULASKI & HANSBERRY STS,J B KELLY SCHOOL,R,L
13,2,WAYNE & LOGAN STS,HAPPY HOLLOW RECREATION CENTER,A,L
13,3,WAYNE & LOGAN STS,HAPPY HOLLOW RECREATION CENTER,A,L
13,4,PULASKI & HANSBERRY STS,J B KELLY SCHOOL,R,L
13,5,PULASKI & HANSBERRY STS,J B KELLY SCHOOL,R,L
13,6,4340 GERMANTOWN AVE,NICETOWN COURT,F,H
13,7,4340 GERMANTOWN AVE,NICETOWN COURT,F,H
13,8,4340 GERMANTOWN AVE,NICETOWN COURT,F,H
13,9,1539 W COURTLAND ST,CHURCH OF NAZARENE BUILDING,F,N
13,10,1539 W COURTLAND ST,CHURCH OF NAZARENE BUILDING,F,N
13,11,1539 W COURTLAND ST,CHURCH OF NAZARENE BUILDING,F,N
13,12,1539 W COURTLAND ST,CHURCH OF NAZARENE BUILDING,F,N
13,13,1539 W COURTLAND ST,CHURCH OF NAZARENE BUILDING,F,N
13,14,4153 GERMANTOWN AVE,CHRISTLIKE RESTORATION CHURCH,R,N
13,15,4153 GERMANTOWN AVE,CHRISTLIKE RESTORATION CHURCH,R,N
13,16,1648 W HUNTING PARK AVE,TRIUMPH BAPTIST CHURCH,M,N
13,17,1648 W HUNTING PARK AVE,TRIUMPH BAPTIST CHURCH,M,N
13,18,1717 W HUNTING PARK AVE,OPPORTUNITY TOWERS,M,H
13,19,22ND & HUNTING PARK AVE,FIRE ENGINE CO # 59,M,L
13,20,19TH & BUTLER STS,MASTERY CLEVELAND CHARTER,A,N
13,21,19TH & BUTLER STS,MASTERY CLEVELAND CHARTER,A,N
13,22,1648 W HUNTING PARK AVE,TRIUMPH BAPTIST CHURCH,M,N
13,23,3720 N BROAD ST,NICETOWN TIOGA BRANCH LIBRARY,F,L
13,24,19TH & BUTLER STS,MASTERY CLEVELAND CHARTER,A,N
13,25,3600 N BROAD ST,ZION BAPTIST CHURCH,M,L
14,1,1001 GREEN ST,SIMPSON MIDTOWN APTS,M,H
14,2,1240 N 10TH ST,HARRISON HOMES,F,L
14,3,1240 N 10TH ST,HARRISON HOMES,F,L
14,4,1221 FAIRMOUNT AVE,GUILD HOUSE WEST,F,L
14,5,1100 FAIRMOUNT AVE,GLADYS JACOBS APT BLDG,F,H
14,6,800 N 08TH ST,EAST POPLAR RECREATION CENTER,M,N
14,7,1240 N 10TH ST,HARRISON HOMES,F,L
14,8,1100 POPLAR ST,STREET COMMUNITY CENTER,F,H
14,9,953 N 10TH ST,CHILDS MEMORIAL BAPTIST CHURCH,B,L
14,10,700 GREEN ST,SPRING GARDEN APTS COMM ROOM,M,N
14,11,702 MARSHALL PLACE,S B G MANAGEMENT INC,M,L
15,1,2720 POPLAR ST,BAPTIST CHURCH,N,N
15,2,2720 POPLAR ST,BAPTIST CHURCH,N,N
15,3,18TH & WALLACE STS,CLEMENTE RECREATION CENTER,F,N
15,4,2601 PENNSYLVANIA AVE,2601 PARKWAY CLUBROOM,F,L
15,5,755 N 24TH ST,PARKWAY MEMORIAL VFW POST,A,N
15,6,2401 PENNSYLVANIA AVE,THE PHILADELPHIAN APTS,F,L
15,7,1539 PARRISH ST,FIRE ENGINE CO # 13,M,L
15,8,755 N 24TH ST,PARKWAY MEMORIAL VFW POST,A,N
15,9,22ND & PARRISH STS,BACHE MARTIN SCHOOL,M,N
