"HINDI","Muni2","County","total_ballots_2020","registered_voters_2020","provisional_all_2020","prov_counted_2020","prov_rejected_2020","abs_issued_2020","abs_counted_2020","abs_rejected_2020","total_ballots_2016","registered_voters_2016","provisional_all_2016","prov_counted_2016","prov_rejected_2016","abs_issued_2016","abs_counted_2016","abs_not_returned_2016","abs_late_2016","abs_rejected_2016"
11024,"TOWN OF LOWVILLE","COLUMBIA COUNTY",368,680,0,0,0,0,0,0,502,689,0,0,0,8,8,0,0,0
11026,"TOWN OF MARCELLON","COLUMBIA COUNTY",302,575,0,0,0,34,34,0,400,611,0,0,0,18,1,1,0,0
11028,"TOWN OF NEWPORT","COLUMBIA COUNTY",200,420,0,0,0,0,0,0,275,441,0,0,0,19,17,2,0,0
11030,"TOWN OF OTSEGO","COLUMBIA COUNTY",222,444,0,0,0,7,7,0,336,436,0,0,0,6,6,0,0,0
11032,"TOWN OF PACIFIC","COLUMBIA COUNTY",1001,1815,0,0,0,144,144,0,1214,1772,0,0,0,136,135,3,0,1
11034,"TOWN OF RANDOLPH","COLUMBIA COUNTY",226,457,0,0,0,1,1,0,294,470,0,0,0,6,6,0,0,0
11036,"TOWN OF SCOTT","COLUMBIA COUNTY",210,389,0,0,0,15,15,0,262,401,0,0,0,1,3,0,0,0
11038,"TOWN OF SPRINGVALE","COLUMBIA COUNTY",183,331,0,0,0,12,12,0,236,338,0,0,0,9,9,0,0,0
11040,"TOWN OF WEST POINT","COLUMBIA COUNTY",816,1433,0,0,0,181,181,0,908,1357,0,0,0,87,88,1,0,0
11042,"TOWN OF WYOCENA","COLUMBIA COUNTY",578,1074,0,0,0,66,66,0,718,1045,0,0,0,20,20,0,0,0
11101,"VILLAGE OF ARLINGTON","COLUMBIA COUNTY",267,523,0,0,0,17,17,0,321,510,0,0,0,7,6,0,0,1
11111,"VILLAGE OF CAMBRIA","COLUMBIA COUNTY",185,386,0,0,0,22,22,0,262,417,0,0,0,21,19,2,0,0
