county,party,race,first_time_status,age_group,vote_mode,vote_count
MRT,REP,5,first_time,18-29,A,34
NAS,REP,5,first_time,18-29,A,17
OKA,REP,5,first_time,18-29,A,29
OKE,REP,5,first_time,18-29,A,7
ORA,REP,5,first_time,18-29,A,83
OSC,REP,5,first_time,18-29,A,46
PAL,REP,5,first_time,18-29,A,91
PAS,REP,5,first_time,18-29,A,55
PIN,REP,5,first_time,18-29,A,125
POL,REP,5,first_time,18-29,A,52
PUT,REP,5,first_time,18-29,A,7
SAN,REP,5,first_time,18-29,A,13
SAR,REP,5,first_time,18-29,A,56
SEM,REP,5,first_time,18-29,A,33
STJ,REP,5,first_time,18-29,A,53
STL,REP,5,first_time,18-29,A,22
SUM,REP,5,first_time,18-29,A,11
SUW,REP,5,first_time,18-29,A,12
TAY,REP,5,first_time,18-29,A,6
UNI,REP,5,first_time,18-29,A,3
VOL,REP,5,first_time,18-29,A,26
WAK,REP,5,first_time,18-29,A,3
WAL,REP,5,first_time,18-29,A,12
WAS,REP,5,first_time,18-29,A,1
ALA,DEM,6,first_time,18-29,A,9
BRE,DEM,6,first_time,18-29,A,4
BRO,DEM,6,first_time,18-29,A,21
CHA,DEM,6,first_time,18-29,A,1
CIT,DEM,6,first_time,18-29,A,4
CLL,DEM,6,first_time,18-29,A,3
DAD,DEM,6,first_time,18-29,A,8
ESC,DEM,6,first_time,18-29,A,1
FLA,DEM,6,first_time,18-29,A,3
HIL,DEM,6,first_time,18-29,A,11
LAK,DEM,6,first_time,18-29,A,2
LEE,DEM,6,first_time,18-29,A,4
LEO,DEM,6,first_time,18-29,A,4
MAN,DEM,6,first_time,18-29,A,2
MRT,DEM,6,first_time,18-29,A,1
OKA,DEM,6,first_time,18-29,A,1
ORA,DEM,6,first_time,18-29,A,4
OSC,DEM,6,first_time,18-29,A,5
PAL,DEM,6,first_time,18-29,A,13
PAS,DEM,6,first_time,18-29,A,3
PIN,DEM,6,first_time,18-29,A,9
SAR,DEM,6,first_time,18-29,A,1
SEM,DEM,6,first_time,18-29,A,3
STJ,DEM,6,first_time,18-29,A,2
STL,DEM,6,first_time,18-29,A,1
SUM,DEM,6,first_time,18-29,A,1
VOL,DEM,6,first_time,18-29,A,2
ALA,NPA,6,first_time,18-29,A,4
BRO,NPA,6,first_time,18-29,A,1
LAK,NPA,6,first_time,18-29,A,1
MAD,NPA,6,first_time,18-29,A,1
PAL,NPA,6,first_time,18-29,A,1
PIN,NPA,6,first_time,18-29,A,1
ALA,REP,6,first_time,18-29,A,1
BRO,REP,6,first_time,18-29,A,4
CLA,REP,6,first_time,18-29,A,1
CLL,REP,6,first_time,18-29,A,1
DAD,REP,6,first_time,18-29,A,1
DUV,REP,6,first_time,18-29,A,1
FLA,REP,6,first_time,18-29,A,1
HER,REP,6,first_time,18-29,A,1
HIL,REP,6,first_time,18-29,A,3
LEE,REP,6,first_time,18-29,A,2
MRN,REP,6,first_time,18-29,A,1
NAS,REP,6,first_time,18-29,A,1
ORA,REP,6,first_time,18-29,A,4
OSC,REP,6,first_time,18-29,A,3
PAL,REP,6,first_time,18-29,A,3
PAS,REP,6,first_time,18-29,A,2
PIN,REP,6,first_time,18-29,A,2
POL,REP,6,first_time,18-29,A,1
SAN,REP,6,first_time,18-29,A,1
SAR,REP,6,first_time,18-29,A,1
STJ,REP,6,first_time,18-29,A,1
ALA,DEM,7,first_time,18-29,A,2
BRE,DEM,7,first_time,18-29,A,1
BRO,DEM,7,first_time,18-29,A,18
CHA,DEM,7,first_time,18-29,A,1
CIT,DEM,7,first_time,18-29,A,2
CLL,DEM,7,first_time,18-29,A,1
DAD,DEM,7,first_time,18-29,A,11
DUV,DEM,7,first_time,18-29,A,1
ESC,DEM,7,first_time,18-29,A,2
HER,DEM,7,first_time,18-29,A,5
HIL,DEM,7,first_time,18-29,A,10
IND,DEM,7,first_time,18-29,A,1
LAK,DEM,7,first_time,18-29,A,1
LEE,DEM,7,first_time,18-29,A,7
LEO,DEM,7,first_time,18-29,A,3
MAN,DEM,7,first_time,18-29,A,3
MRT,DEM,7,first_time,18-29,A,1
ORA,DEM,7,first_time,18-29,A,7
OSC,DEM,7,first_time,18-29,A,5
PAL,DEM,7,first_time,18-29,A,5
PAS,DEM,7,first_time,18-29,A,4
PIN,DEM,7,first_time,18-29,A,6
POL,DEM,7,first_time,18-29,A,3
SAN,DEM,7,first_time,18-29,A,3
SAR,DEM,7,first_time,18-29,A,2
STJ,DEM,7,first_time,18-29,A,2
STL,DEM,7,first_time,18-29,A,2
VOL,DEM,7,first_time,18-29,A,2
PIN,IND,7,first_time,18-29,A,1
BRO,NPA,7,first_time,18-29,A,1
MON,NPA,7,first_time,18-29,A,1
PIN,NPA,7,first_time,18-29,A,2
BAK,REP,7,first_time,18-29,A,1
BRE,REP,7,first_time,18-29,A,1
BRO,REP,7,first_time,18-29,A,4
CLA,REP,7,first_time,18-29,A,1
CLL,REP,7,first_time,18-29,A,1
DAD,REP,7,first_time,18-29,A,1
HER,REP,7,first_time,18-29,A,1
HIL,REP,7,first_time,18-29,A,1
LAK,REP,7,first_time,18-29,A,1
LEE,REP,7,first_time,18-29,A,2
MAN,REP,7,first_time,18-29,A,2
MON,REP,7,first_time,18-29,A,1
OKE,REP,7,first_time,18-29,A,1
ORA,REP,7,first_time,18-29,A,1
OSC,REP,7,first_time,18-29,A,3
PAL,REP,7,first_time,18-29,A,1
PIN,REP,7,first_time,18-29,A,1
POL,REP,7,first_time,18-29,A,1
STJ,REP,7,first_time,18-29,A,2
VOL,REP,7,first_time,18-29,A,1
ALA,DEM,9,first_time,18-29,A,5
BAY,DEM,9,first_time,18-29,A,3
BRA,DEM,9,first_time,18-29,A,1
BRE,DEM,9,first_time,18-29,A,10
BRO,DEM,9,first_time,18-29,A,53
CHA,DEM,9,first_time,18-29,A,4
CIT,DEM,9,first_time,18-29,A,1
CLA,DEM,9,first_time,18-29,A,3
CLL,DEM,9,first_time,18-29,A,9
DAD,DEM,9,first_time,18-29,A,72
DUV,DEM,9,first_time,18-29,A,20
ESC,DEM,9,first_time,18-29,A,9
HER,DEM,9,first_time,18-29,A,1
HIL,DEM,9,first_time,18-29,A,43
IND,DEM,9,first_time,18-29,A,5
LAK,DEM,9,first_time,18-29,A,2
LEE,DEM,9,first_time,18-29,A,16
LEO,DEM,9,first_time,18-29,A,15
MAN,DEM,9,first_time,18-29,A,8
MON,DEM,9,first_time,18-29,A,1
MRN,DEM,9,first_time,18-29,A,5
MRT,DEM,9,first_time,18-29,A,4
OKA,DEM,9,first_time,18-29,A,5
ORA,DEM,9,first_time,18-29,A,46
OSC,DEM,9,first_time,18-29,A,11
PAL,DEM,9,first_time,18-29,A,46
PAS,DEM,9,first_time,18-29,A,8
PIN,DEM,9,first_time,18-29,A,29
POL,DEM,9,first_time,18-29,A,10
PUT,DEM,9,first_time,18-29,A,2
SAN,DEM,9,first_time,18-29,A,6
SAR,DEM,9,first_time,18-29,A,23
SEM,DEM,9,first_time,18-29,A,18
STJ,DEM,9,first_time,18-29,A,8
STL,DEM,9,first_time,18-29,A,3
SUM,DEM,9,first_time,18-29,A,1
VOL,DEM,9,first_time,18-29,A,9
WAK,DEM,9,first_time,18-29,A,1
PIN,IND,9,first_time,18-29,A,1
ALA,NPA,9,first_time,18-29,A,1
BRO,NPA,9,first_time,18-29,A,3
CLL,NPA,9,first_time,18-29,A,1
DAD,NPA,9,first_time,18-29,A,1
MON,NPA,9,first_time,18-29,A,2
ORA,NPA,9,first_time,18-29,A,2
PAL,NPA,9,first_time,18-29,A,3
PIN,NPA,9,first_time,18-29,A,2
BAY,REP,9,first_time,18-29,A,2
BRE,REP,9,first_time,18-29,A,5
BRO,REP,9,first_time,18-29,A,12
CAL,REP,9,first_time,18-29,A,1
CIT,REP,9,first_time,18-29,A,2
CLA,REP,9,first_time,18-29,A,3
CLL,REP,9,first_time,18-29,A,4
DAD,REP,9,first_time,18-29,A,12
DUV,REP,9,first_time,18-29,A,8
ESC,REP,9,first_time,18-29,A,5
FLA,REP,9,first_time,18-29,A,1
HER,REP,9,first_time,18-29,A,2
HIL,REP,9,first_time,18-29,A,9
IND,REP,9,first_time,18-29,A,2
JAC,REP,9,first_time,18-29,A,1
LAK,REP,9,first_time,18-29,A,1
LEE,REP,9,first_time,18-29,A,8
LEO,REP,9,first_time,18-29,A,1
MAN,REP,9,first_time,18-29,A,3
MRN,REP,9,first_time,18-29,A,1
MRT,REP,9,first_time,18-29,A,2
OKA,REP,9,first_time,18-29,A,3
OKE,REP,9,first_time,18-29,A,1
ORA,REP,9,first_time,18-29,A,10
OSC,REP,9,first_time,18-29,A,3
PAL,REP,9,first_time,18-29,A,6
PAS,REP,9,first_time,18-29,A,2
PIN,REP,9,first_time,18-29,A,7
POL,REP,9,first_time,18-29,A,9
SAN,REP,9,first_time,18-29,A,3
SAR,REP,9,first_time,18-29,A,3
SEM,REP,9,first_time,18-29,A,6
SUW,REP,9,first_time,18-29,A,1
VOL,REP,9,first_time,18-29,A,1
ALA,DEM,1,returning,18-29,A,3
BRE,DEM,1,returning,18-29,A,4
BRO,DEM,1,returning,18-29,A,9
CHA,DEM,1,returning,18-29,A,1
CLL,DEM,1,returning,18-29,A,2
DAD,DEM,1,returning,18-29,A,9
DUV,DEM,1,returning,18-29,A,1
ESC,DEM,1,returning,18-29,A,1
HIL,DEM,1,returning,18-29,A,8
IND,DEM,1,returning,18-29,A,2
LEO,DEM,1,returning,18-29,A,4
OKA,DEM,1,returning,18-29,A,2
ORA,DEM,1,returning,18-29,A,2
OSC,DEM,1,returning,18-29,A,2
PAL,DEM,1,returning,18-29,A,5
PAS,DEM,1,returning,18-29,A,2
PIN,DEM,1,returning,18-29,A,5
POL,DEM,1,returning,18-29,A,3
SAR,DEM,1,returning,18-29,A,3
SEM,DEM,1,returning,18-29,A,5
STJ,DEM,1,returning,18-29,A,1
STL,DEM,1,returning,18-29,A,1
VOL,DEM,1,returning,18-29,A,3
SAR,GRE,1,returning,18-29,A,1
MRN,NPA,1,returning,18-29,A,1
PAL,NPA,1,returning,18-29,A,1
PIN,NPA,1,returning,18-29,A,1
BRE,REP,1,returning,18-29,A,4
BRO,REP,1,returning,18-29,A,2
CLA,REP,1,returning,18-29,A,1
CLL,REP,1,returning,18-29,A,1
DAD,REP,1,returning,18-29,A,1
DUV,REP,1,returning,18-29,A,4
ESC,REP,1,returning,18-29,A,1
GIL,REP,1,returning,18-29,A,1
HER,REP,1,returning,18-29,A,2
HIL,REP,1,returning,18-29,A,5
LEE,REP,1,returning,18-29,A,2
LEO,REP,1,returning,18-29,A,1
LIB,REP,1,returning,18-29,A,1
MON,REP,1,returning,18-29,A,1
MRN,REP,1,returning,18-29,A,4
OKA,REP,1,returning,18-29,A,1
OSC,REP,1,returning,18-29,A,1
PAL,REP,1,returning,18-29,A,1
PAS,REP,1,returning,18-29,A,1
PIN,REP,1,returning,18-29,A,6
POL,REP,1,returning,18-29,A,2
SAN,REP,1,returning,18-29,A,1
VOL,REP,1,returning,18-29,A,1
WAL,REP,1,returning,18-29,A,1
WAS,REP,1,returning,18-29,A,2
ALA,DEM,2,returning,18-29,A,78
BRA,DEM,2,returning,18-29,A,1
BRE,DEM,2,returning,18-29,A,38
BRO,DEM,2,returning,18-29,A,187
CHA,DEM,2,returning,18-29,A,3
CIT,DEM,2,returning,18-29,A,10
CLA,DEM,2,returning,18-29,A,6
CLL,DEM,2,returning,18-29,A,7
CLM,DEM,2,returning,18-29,A,1
DAD,DEM,2,returning,18-29,A,117
DUV,DEM,2,returning,18-29,A,66
ESC,DEM,2,returning,18-29,A,22
