election_date,vote_mode,party,county,race,age_group,vote_count
03/17/2020,A,REP,DUV,2,18-29,20
03/15/2016,B,REP,DUV,2,18-29,6
03/17/2020,B,REP,DUV,2,18-29,1
03/15/2016,E,REP,DUV,2,18-29,28
03/17/2020,E,REP,DUV,2,18-29,19
03/15/2016,P,REP,DUV,2,18-29,2
03/17/2020,P,REP,DUV,2,18-29,1
03/15/2016,Y,REP,DUV,2,18-29,79
03/17/2020,Y,REP,DUV,2,18-29,21
03/15/2016,A,DEM,ESC,2,18-29,6
03/17/2020,A,DEM,ESC,2,18-29,30
03/15/2016,B,DEM,ESC,2,18-29,1
03/15/2016,E,DEM,ESC,2,18-29,6
03/17/2020,E,DEM,ESC,2,18-29,16
03/15/2016,P,DEM,ESC,2,18-29,1
03/15/2016,Y,DEM,ESC,2,18-29,23
03/17/2020,Y,DEM,ESC,2,18-29,27
03/15/2016,A,REP,ESC,2,18-29,12
03/17/2020,A,REP,ESC,2,18-29,9
03/15/2016,E,REP,ESC,2,18-29,13
03/17/2020,E,REP,ESC,2,18-29,4
03/15/2016,Y,REP,ESC,2,18-29,41
03/17/2020,Y,REP,ESC,2,18-29,12
03/15/2016,A,DEM,FLA,2,18-29,1
03/17/2020,A,DEM,FLA,2,18-29,5
03/17/2020,B,DEM,FLA,2,18-29,1
03/15/2016,E,DEM,FLA,2,18-29,1
03/17/2020,E,DEM,FLA,2,18-29,7
03/15/2016,Y,DEM,FLA,2,18-29,1
03/17/2020,Y,DEM,FLA,2,18-29,5
03/17/2020,A,REP,FLA,2,18-29,2
03/15/2016,E,REP,FLA,2,18-29,4
03/17/2020,Y,REP,FLA,2,18-29,2
03/17/2020,E,REP,FRA,2,18-29,1
03/17/2020,Y,REP,GIL,2,18-29,1
