vre602,cd,ss,sh,cc,ed,mu,ext,address,white,black,hispanic,asian,other,total,,,,,,,,,,,,,,,,,,,
09F,005,006,053,4,5,09,00859,"Morris Brandon Primary Ctr. School 2845 Margaret Mitchell Dr
Split (08E, 09F)","2,530
205","521
52","94
10","88
9","509
71","3,742
347",,,,,,,,,,,,,,,,,,,
09G,005,038,055,4,5,09,00970,"The Fairmont
1429 Fairmont Ave NW
Split (08P, 09G, 09H)","2,028
246","835
78","133
13","132
14","532
82","3,660
433",,,,,,,,,,,,,,,,,,,
09H,005,038,055,3,5,09,00861,"The Fairmont
1429 Fairmont Ave NW
Split (08P, 09G, 09H)","477
56","402
31","51
5","31
4","184
16","1,145
112",,,,,,,,,,,,,,,,,,,
09I,005,038,055,4,5,09,00970,"Grove Park Recreation Center 750 Francis Pl Nw
Split (03B, 03H, 09I)","90
4","1,031
50","11
1","2
0","175
12","1,309
67",,,,,,,,,,,,,,,,,,,
09K,005,038,053,4,5,09,00858,"Northwest Library at Scotts Crossing 2489 Perry Blvd Nw
Split (09A, 09K, 09M)","218
14","4,232
172","52
4","13
4","662
33","5,177
227",,,,,,,,,,,,,,,,,,,
09M,005,038,053,4,5,09,00858,"Northwest Library at Scotts Crossing 2489 Perry Blvd Nw
Split (09A, 09K, 09M)","1,108
77","768
43","74
7","46
5","390
37","2,386
169",,,,,,,,,,,,,,,,,,,
10A,005,038,061,6,5,10,00864,The Kindezi School - West 286 Wilson Mill Road,"39
2","2,611
45","16
0","4
0","376
5","3,046
52",,,,,,,,,,,,,,,,,,,
10B,005,038,055,6,5,10,00865,"West Manor Park 3240 West Manor Cir
Split (10B, 10I)","67
4","3,164
120","11
2","10
0","460
25","3,712
151",,,,,,,,,,,,,,,,,,,
10C,005,038,061,6,5,10,00864,"C.T. Martin Natatorium & Recreation Center 3201 M L King Jr Dr SW
Split (10C, 10D)","39
1","2,228
106","7
2","1
0","288
18","2,563
127",,,,,,,,,,,,,,,,,,,
10D,005,038,053,4,5,10,00866,"C.T. Martin Natatorium & Recreation Center 3201 M L King Jr Dr SW
Split (10C, 10D)","73
5","4,057
114","43
2","5
0","551
20","4,729
141",,,,,,,,,,,,,,,,,,,
10E,005,038,053,4,5,10,00866,"Jackson Memorial Baptist Church 534 Fairburn Rd
Split (09C, 10E)","32
1","845
23","5
0","2
0","138
1","1,022
25",,,,,,,,,,,,,,,,,,,
10F,005,038,053,4,5,10,00866,"Berean Seventh Day Advent. Church 291 Hamilton E Holmes Dr
Split (03S, 10F)","19
1","964
22","8
0","2
0","133
7","1,126
30",,,,,,,,,,,,,,,,,,,
10G,005,038,056,6,5,10,00867,"St Paul's Episcopal Church 306 Peyton Rd
Split (10G, 10H1, 10H2)","28
3","1,069
23","4
0","2
0","152
4","1,255
30",,,,,,,,,,,,,,,,,,,
10H1,005,038,053,6,5,10,00873,"St Paul's Episcopal Church 306 Peyton Rd
Split (10G, 10H1, 10H2)","6
4","357
12","7
0","0
0","48
4","418
20",,,,,,,,,,,,,,,,,,,
10H2,005,038,055,6,5,10,00865,"St Paul's Episcopal Church 306 Peyton Rd
Split (10G, 10H1, 10H2)","44
1","2,112
81","28
0","8
0","294
13","2,486
95",,,,,,,,,,,,,,,,,,,
10I,005,038,057,6,5,10,00868,"West Manor Park 3240 West Manor Cir
Split (10B, 10I)","5
0","271
9","4
0","0
0","42
2","322
11",,,,,,,,,,,,,,,,,,,
10J,005,038,056,4,5,10,00869,Westside Community Church 2114 Martin Luther King Jr Dr,"31
2","944
32","12
1","1
0","179
6","1,167
41",,,,,,,,,,,,,,,,,,,
10K,005,039,057,4,5,10,00870,"Beecher Hills Elementary School 2257 Bollingbrook Dr SW
Split (10K, 11H)","82
2","1,212
41","15
0","6
0","199
10","1,514
53",,,,,,,,,,,,,,,,,,,
