,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BAYFIELD - TOWN OF GRAND VIEW - WARD 1,25,,
,BAYFIELD - TOWN OF HUGHES - WARD 1,28,,
,BAYFIELD - TOWN OF IRON RIVER - WARD 1,14,,
,BAYFIELD - TOWN OF IRON RIVER - WARD 2,28,,
,BAYFIELD - TOWN OF KELLY - WARD 1,13,,
,BAYFIELD - TOWN OF KEYSTONE - WARD 1,23,,
,BAYFIELD - TOWN OF LINCOLN - WARD 1,9,,
,BAYFIELD - TOWN OF MASON - WARD 1,15,,
,BAYFIELD - TOWN OF NAMAKAGON - WARD 1,10,,
,BAYFIELD - TOWN OF ORIENTA - WARD 1,13,,
,BAYFIELD - TOWN OF OULU - WARD 1,32,,
,BAYFIELD - TOWN OF PILSEN - WARD 1,20,,
,BAYFIELD - TOWN OF PORT WING - WARD 1,13,,
,BAYFIELD - TOWN OF RUSSELL - WARD 1,27,,
,BAYFIELD - TOWN OF RUSSELL - WARD 2,13,,
,BAYFIELD - TOWN OF TRIPP - WARD 1,13,,
,BAYFIELD - TOWN OF WASHBURN - WARD 1,15,,
,BAYFIELD - VILLAGE OF MASON - WARD 1,3,,
,BROWN - CITY OF DE PERE - WARD 1,26,,
,BROWN - CITY OF DE PERE - WARD 10,23,,
,BROWN - CITY OF DE PERE - WARD 11,8,,
,BROWN - CITY OF DE PERE - WARD 12,22,,
,BROWN - CITY OF DE PERE - WARD 13,26,,
,BROWN - CITY OF DE PERE - WARD 14,32,,
,BROWN - CITY OF DE PERE - WARD 15,25,1,
,BROWN - CITY OF DE PERE - WARD 2,33,,
,BROWN - CITY OF DE PERE - WARD 3,11,,
,BROWN - CITY OF DE PERE - WARD 4,19,,
,BROWN - CITY OF DE PERE - WARD 5,5,,
,BROWN - CITY OF DE PERE - WARD 6,26,1,
,BROWN - CITY OF DE PERE - WARD 7,20,,
,BROWN - CITY OF DE PERE - WARD 8,26,,
,BROWN - CITY OF DE PERE - WARD 9,5,,
,BROWN - CITY OF GREEN BAY - WARD 1,1,,
,BROWN - CITY OF GREEN BAY - WARD 10,9,,
,BROWN - CITY OF GREEN BAY - WARD 11,15,,
,BROWN - CITY OF GREEN BAY - WARD 12,10,,
,BROWN - CITY OF GREEN BAY - WARD 13,30,,
,BROWN - CITY OF GREEN BAY - WARD 14,6,,
,BROWN - CITY OF GREEN BAY - WARD 15,28,,
,BROWN - CITY OF GREEN BAY - WARD 16,33,,
,BROWN - CITY OF GREEN BAY - WARD 17,14,,
,BROWN - CITY OF GREEN BAY - WARD 18,13,,
,BROWN - CITY OF GREEN BAY - WARD 19,12,,
,BROWN - CITY OF GREEN BAY - WARD 2,29,,
,BROWN - CITY OF GREEN BAY - WARD 20,13,,
,BROWN - CITY OF GREEN BAY - WARD 21,10,,
,BROWN - CITY OF GREEN BAY - WARD 22,3,,
,BROWN - CITY OF GREEN BAY - WARD 23,4,,
,BROWN - CITY OF GREEN BAY - WARD 24,16,,
,BROWN - CITY OF GREEN BAY - WARD 25,14,,
,BROWN - CITY OF GREEN BAY - WARD 26,22,,
,BROWN - CITY OF GREEN BAY - WARD 27,4,,
,BROWN - CITY OF GREEN BAY - WARD 28,19,,
,BROWN - CITY OF GREEN BAY - WARD 29,20,,
,BROWN - CITY OF GREEN BAY - WARD 3,14,,
,BROWN - CITY OF GREEN BAY - WARD 30,28,,
,BROWN - CITY OF GREEN BAY - WARD 31,14,,
,BROWN - CITY OF GREEN BAY - WARD 32,19,,
,BROWN - CITY OF GREEN BAY - WARD 33,12,,
,BROWN - CITY OF GREEN BAY - WARD 34,21,,
,BROWN - CITY OF GREEN BAY - WARD 35,14,,
,BROWN - CITY OF GREEN BAY - WARD 36,14,,
,BROWN - CITY OF GREEN BAY - WARD 37,13,,
,BROWN - CITY OF GREEN BAY - WARD 38,22,,
,BROWN - CITY OF GREEN BAY - WARD 39,19,,
,BROWN - CITY OF GREEN BAY - WARD 4,22,,
,BROWN - CITY OF GREEN BAY - WARD 40,14,,
,BROWN - CITY OF GREEN BAY - WARD 41,4,,
,BROWN - CITY OF GREEN BAY - WARD 42,11,,
,BROWN - CITY OF GREEN BAY - WARD 43,10,,
,BROWN - CITY OF GREEN BAY - WARD 44,22,,
,BROWN - CITY OF GREEN BAY - WARD 45,25,,
,BROWN - CITY OF GREEN BAY - WARD 46,25,,
,BROWN - CITY OF GREEN BAY - WARD 47,29,,
,BROWN - CITY OF GREEN BAY - WARD 5,13,,
,BROWN - CITY OF GREEN BAY - WARD 6,28,,
,BROWN - CITY OF GREEN BAY - WARD 7,10,,
,BROWN - CITY OF GREEN BAY - WARD 8,31,,
,BROWN - CITY OF GREEN BAY - WARD 9,7,1,
,BROWN - TOWN OF EATON - WARD 1,23,,
,BROWN - TOWN OF EATON - WARD 2,44,,
,BROWN - TOWN OF GLENMORE - WARD 1,34,,
,BROWN - TOWN OF GLENMORE - WARD 2,9,,
,BROWN - TOWN OF GREEN BAY - WARD 1,34,,
,BROWN - TOWN OF GREEN BAY - WARD 2,31,,
,BROWN - TOWN OF GREEN BAY - WARD 3,31,,
,BROWN - TOWN OF HOLLAND - WARD 1,36,,
,BROWN - TOWN OF HOLLAND - WARD 2,36,,
,BROWN - TOWN OF HUMBOLDT - WARD 1,37,,
,BROWN - TOWN OF HUMBOLDT - WARD 2,13,,
,BROWN - TOWN OF LAWRENCE - WARD 1,16,,
,BROWN - TOWN OF LAWRENCE - WARD 2,12,,
,BROWN - TOWN OF LAWRENCE - WARD 3,8,,
,BROWN - TOWN OF LAWRENCE - WARD 4,8,,
,BROWN - TOWN OF LAWRENCE - WARD 5,28,,
,BROWN - TOWN OF LAWRENCE - WARD 6,29,,
,BROWN - TOWN OF LEDGEVIEW - WARD 1,7,,
,BROWN - TOWN OF LEDGEVIEW - WARD 10,23,,
,BROWN - TOWN OF LEDGEVIEW - WARD 2,12,,
,BROWN - TOWN OF LEDGEVIEW - WARD 3,15,,
,BROWN - TOWN OF LEDGEVIEW - WARD 4,15,,
,BROWN - TOWN OF LEDGEVIEW - WARD 5,13,,
,BROWN - TOWN OF LEDGEVIEW - WARD 6,5,,
,BROWN - TOWN OF LEDGEVIEW - WARD 7,15,,
,BROWN - TOWN OF LEDGEVIEW - WARD 8,11,,
,BROWN - TOWN OF LEDGEVIEW - WARD 9,17,,
,BROWN - TOWN OF MORRISON - WARD 1,26,,
,BROWN - TOWN OF MORRISON - WARD 2,31,,
,BROWN - TOWN OF NEW DENMARK - WARD 1,18,,
,BROWN - TOWN OF NEW DENMARK - WARD 2,18,,
,BROWN - TOWN OF NEW DENMARK - WARD 3,12,,
,BROWN - TOWN OF PITTSFIELD - WARD 1,40,,
,BROWN - TOWN OF PITTSFIELD - WARD 2,22,,
,BROWN - TOWN OF PITTSFIELD - WARD 3,29,,
,BROWN - TOWN OF ROCKLAND - WARD 1,17,,
,BROWN - TOWN OF ROCKLAND - WARD 2,20,,
,BROWN - TOWN OF ROCKLAND - WARD 3,23,,
,BROWN - TOWN OF SCOTT - WARD 1,33,,
,BROWN - TOWN OF SCOTT - WARD 2,28,,
,BROWN - TOWN OF SCOTT - WARD 3,17,,
,BROWN - TOWN OF SCOTT - WARD 4,28,,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 1,66,,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 2,32,,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 3,26,1,
,BROWN - VILLAGE OF ALLOUEZ - WARD 1,32,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 2,36,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 3,23,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 4,42,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 5,20,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 6,44,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 7,11,,
,BROWN - VILLAGE OF ALLOUEZ - WARD 8,23,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 1,29,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 10,48,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 11,24,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 12,17,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 2,7,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 3,17,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 4,22,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 5,34,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 6,27,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 7,33,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 8,24,,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 9,37,1,
,BROWN - VILLAGE OF BELLEVUE - WARD 1,4,,
,BROWN - VILLAGE OF BELLEVUE - WARD 10,52,,
,BROWN - VILLAGE OF BELLEVUE - WARD 2,16,,
,BROWN - VILLAGE OF BELLEVUE - WARD 3,5,,
,BROWN - VILLAGE OF BELLEVUE - WARD 4,17,,
,BROWN - VILLAGE OF BELLEVUE - WARD 5,9,,
,BROWN - VILLAGE OF BELLEVUE - WARD 6,22,,
,BROWN - VILLAGE OF BELLEVUE - WARD 7,41,,
,BROWN - VILLAGE OF BELLEVUE - WARD 8,27,,
,BROWN - VILLAGE OF BELLEVUE - WARD 9,23,,
,BROWN - VILLAGE OF DENMARK - WARD 1,24,,
,BROWN - VILLAGE OF DENMARK - WARD 2,14,,
,BROWN - VILLAGE OF DENMARK - WARD 3,19,,
,BROWN - VILLAGE OF HOBART - WARD 1,25,,
,BROWN - VILLAGE OF HOBART - WARD 2,16,,
,BROWN - VILLAGE OF HOBART - WARD 3,15,,
,BROWN - VILLAGE OF HOBART - WARD 4,12,,
,BROWN - VILLAGE OF HOBART - WARD 5,12,,
,BROWN - VILLAGE OF HOBART - WARD 6,10,,
,BROWN - VILLAGE OF HOBART - WARD 7,16,,
,BROWN - VILLAGE OF HOBART - WARD 8,14,,
,BROWN - VILLAGE OF HOWARD - WARD 1,18,,
,BROWN - VILLAGE OF HOWARD - WARD 10,29,,
,BROWN - VILLAGE OF HOWARD - WARD 11,31,,
,BROWN - VILLAGE OF HOWARD - WARD 12,21,,
,BROWN - VILLAGE OF HOWARD - WARD 13,25,,
