,,Voter Status,,
,,Active,Dropped,
,,Count,Count,
,BROWN - CITY OF GREEN BAY - WARD 44,507,34,
,BROWN - CITY OF GREEN BAY - WARD 45,518,37,
,BROWN - CITY OF GREEN BAY - WARD 46,372,15,
,BROWN - CITY OF GREEN BAY - WARD 47,437,21,
,BROWN - CITY OF GREEN BAY - WARD 5,201,12,
,BROWN - CITY OF GREEN BAY - WARD 6,495,32,
,BROWN - CITY OF GREEN BAY - WARD 7,222,27,
,BROWN - CITY OF GREEN BAY - WARD 8,481,29,
,BROWN - CITY OF GREEN BAY - WARD 9,104,7,
,BROWN - TOWN OF EATON - WARD 1,118,5,
,BROWN - TOWN OF EATON - WARD 2,171,8,
,BROWN - TOWN OF GLENMORE - WARD 1,130,8,
,BROWN - TOWN OF GLENMORE - WARD 2,53,2,
,BROWN - TOWN OF GREEN BAY - WARD 1,172,15,
,BROWN - TOWN OF GREEN BAY - WARD 2,126,4,
,BROWN - TOWN OF GREEN BAY - WARD 3,65,5,
,BROWN - TOWN OF HOLLAND - WARD 1,83,3,
,BROWN - TOWN OF HOLLAND - WARD 2,180,9,
,BROWN - TOWN OF HUMBOLDT - WARD 1,183,6,
,BROWN - TOWN OF HUMBOLDT - WARD 2,78,2,
,BROWN - TOWN OF LAWRENCE - WARD 1,146,10,
,BROWN - TOWN OF LAWRENCE - WARD 2,97,16,
,BROWN - TOWN OF LAWRENCE - WARD 3,69,6,
,BROWN - TOWN OF LAWRENCE - WARD 4,97,10,
,BROWN - TOWN OF LAWRENCE - WARD 5,85,5,
,BROWN - TOWN OF LAWRENCE - WARD 6,183,4,
,BROWN - TOWN OF LEDGEVIEW - WARD 1,21,,
,BROWN - TOWN OF LEDGEVIEW - WARD 10,75,10,
,BROWN - TOWN OF LEDGEVIEW - WARD 2,72,5,
,BROWN - TOWN OF LEDGEVIEW - WARD 3,42,4,
,BROWN - TOWN OF LEDGEVIEW - WARD 4,96,15,
,BROWN - TOWN OF LEDGEVIEW - WARD 5,57,6,
,BROWN - TOWN OF LEDGEVIEW - WARD 6,146,15,
,BROWN - TOWN OF LEDGEVIEW - WARD 7,55,9,
,BROWN - TOWN OF LEDGEVIEW - WARD 8,76,4,
,BROWN - TOWN OF LEDGEVIEW - WARD 9,64,7,
,BROWN - TOWN OF MORRISON - WARD 1,120,12,
,BROWN - TOWN OF MORRISON - WARD 2,132,8,
,BROWN - TOWN OF NEW DENMARK - WARD 1,94,8,
,BROWN - TOWN OF NEW DENMARK - WARD 2,123,4,
,BROWN - TOWN OF NEW DENMARK - WARD 3,69,3,
,BROWN - TOWN OF PITTSFIELD - WARD 1,150,9,
,BROWN - TOWN OF PITTSFIELD - WARD 2,183,8,
,BROWN - TOWN OF PITTSFIELD - WARD 3,174,6,
,BROWN - TOWN OF ROCKLAND - WARD 1,82,5,
,BROWN - TOWN OF ROCKLAND - WARD 2,78,2,
,BROWN - TOWN OF ROCKLAND - WARD 3,123,10,
,BROWN - TOWN OF SCOTT - WARD 1,160,7,
,BROWN - TOWN OF SCOTT - WARD 2,146,6,
,BROWN - TOWN OF SCOTT - WARD 3,162,7,
,BROWN - TOWN OF SCOTT - WARD 4,211,15,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 1,151,4,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 2,90,1,
,BROWN - TOWN OF WRIGHTSTOWN - WARD 3,81,7,
,BROWN - VILLAGE OF ALLOUEZ - WARD 1,136,19,
,BROWN - VILLAGE OF ALLOUEZ - WARD 2,388,39,
,BROWN - VILLAGE OF ALLOUEZ - WARD 3,119,12,
,BROWN - VILLAGE OF ALLOUEZ - WARD 4,380,32,
,BROWN - VILLAGE OF ALLOUEZ - WARD 5,228,10,
,BROWN - VILLAGE OF ALLOUEZ - WARD 6,341,22,
,BROWN - VILLAGE OF ALLOUEZ - WARD 7,181,14,
,BROWN - VILLAGE OF ALLOUEZ - WARD 8,230,18,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 1,146,9,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 10,290,24,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 11,198,19,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 12,259,25,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 2,161,31,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 3,116,8,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 4,251,13,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 5,227,16,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 6,188,12,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 7,203,15,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 8,269,15,
,BROWN - VILLAGE OF ASHWAUBENON - WARD 9,243,14,
,BROWN - VILLAGE OF BELLEVUE - WARD 1,142,18,
,BROWN - VILLAGE OF BELLEVUE - WARD 10,290,22,
,BROWN - VILLAGE OF BELLEVUE - WARD 2,75,11,
,BROWN - VILLAGE OF BELLEVUE - WARD 3,116,6,
,BROWN - VILLAGE OF BELLEVUE - WARD 4,174,10,
,BROWN - VILLAGE OF BELLEVUE - WARD 5,190,32,
,BROWN - VILLAGE OF BELLEVUE - WARD 6,218,11,
,BROWN - VILLAGE OF BELLEVUE - WARD 7,285,17,
,BROWN - VILLAGE OF BELLEVUE - WARD 8,228,17,
,BROWN - VILLAGE OF BELLEVUE - WARD 9,263,23,
,BROWN - VILLAGE OF DENMARK - WARD 1,99,7,
,BROWN - VILLAGE OF DENMARK - WARD 2,75,8,
,BROWN - VILLAGE OF DENMARK - WARD 3,96,11,
,BROWN - VILLAGE OF HOBART - WARD 1,231,32,
,BROWN - VILLAGE OF HOBART - WARD 2,131,6,
,BROWN - VILLAGE OF HOBART - WARD 3,85,3,
,BROWN - VILLAGE OF HOBART - WARD 4,92,5,
,BROWN - VILLAGE OF HOBART - WARD 5,120,13,
,BROWN - VILLAGE OF HOBART - WARD 6,75,8,
,BROWN - VILLAGE OF HOBART - WARD 7,132,10,
,BROWN - VILLAGE OF HOBART - WARD 8,118,9,
,BROWN - VILLAGE OF HOBART - WARD 9,3,2,
,BROWN - VILLAGE OF HOWARD - WARD 1,93,4,
,BROWN - VILLAGE OF HOWARD - WARD 10,183,9,
,BROWN - VILLAGE OF HOWARD - WARD 11,335,33,
,BROWN - VILLAGE OF HOWARD - WARD 12,127,9,
,BROWN - VILLAGE OF HOWARD - WARD 13,177,27,
,BROWN - VILLAGE OF HOWARD - WARD 14,67,3,
,BROWN - VILLAGE OF HOWARD - WARD 15,237,20,
,BROWN - VILLAGE OF HOWARD - WARD 16,95,10,
,BROWN - VILLAGE OF HOWARD - WARD 18,61,4,
,BROWN - VILLAGE OF HOWARD - WARD 2,122,4,
,BROWN - VILLAGE OF HOWARD - WARD 3,78,10,
,BROWN - VILLAGE OF HOWARD - WARD 4,88,4,
,BROWN - VILLAGE OF HOWARD - WARD 5,102,3,
,BROWN - VILLAGE OF HOWARD - WARD 6,137,14,
,BROWN - VILLAGE OF HOWARD - WARD 7,163,11,
,BROWN - VILLAGE OF HOWARD - WARD 8,252,23,
,BROWN - VILLAGE OF HOWARD - WARD 9,143,12,
,BROWN - VILLAGE OF PULASKI - WARD 1,77,7,
